Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SANTA ELIZABETH CEBALLOS LICEAGA,", DIRECTORA DE VIGILANCIA EPIDEMIOLÓGICA DE ENFERMEDADES TRANSMISIBLES: Gracias. Muy buenas tardes a todos ustedes. Antes que nada, pues agradecerle nuevamente al espacio al doctor Gatell, al doctor Alomía.",0.0,29,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Miren, el día de hoy venimos hablar de un tema de gran relevancia, un problema de salud pública a nivel internacional y México no es la excepción. Este tema que nosotros queremos compartir el día de hoy con ustedes es la tuberculosis.",0.0,42,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"La tuberculosis, hay que recordar que es una de las principales causas a nivel de muerte y es la principal de causa de muerte en el mundo en personas que viven con VIH. Entonces, es un dato muy importante que ustedes deben de conocer.",0.0,44,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Entonces, específicamente hablando de la tuberculosis es importante que nosotros sepamos qué es la tuberculosis. La tuberculosis es una enfermedad que es causada por una bacteria, es una bacteria llamada mycobacterium tuberculosis.",0.0,32,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Aquí tenemos un pequeño resumen que nos indica que una persona que no es diagnosticada y no es tratada y que tiene tuberculosis pulmonar, es decir, la tuberculosis es una enfermedad que puede afectar todos los órganos del cuerpo, podemos tener tuberculosis en los pulmones, en el cerebro, en los intestinos, es decir, es una bacteria que puede alojarse en múltiples órganos del cuerpo, sin embargo, uno de ellos los pulmones es la localización más frecuente donde podemos encontrar la tuberculosis y esta localización, la tuberculosis pulmonar, es la que se transmite de persona a persona.",0.0,96,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Es decir, yo puedo conocer una persona que tiene tuberculosis, digamos, intestinal, y esa tuberculosis no me la va a transmitir o no me voy a enfermar por hablar con ella, por platicar o por convivir; sin embargo, si soy una persona que tiene tuberculosis pulmonar y no estoy diagnóstica y no estoy tratada, no estoy tomando mi medicamento, entonces yo puedo infectar hasta 15 personas más.",0.0,67,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Entonces, eso es muy importante, ese es un dato que ustedes deben de apoyarnos en dar a conocer: una persona sin diagnóstico y sin tratamiento puede, incluso, transmitir la enfermedad hasta a 15 personas más.",0.0,35,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Entonces, ya comentamos que la locación más frecuente es en los pulmones, ocho de cada 10 la tienen en los pulmones y quien la tiene en los pulmones es quien la va a transmitir.",0.0,34,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Entonces, todas y todos estamos en riesgo de enfermar, no hay una sola persona aquí presente que no pueda enfermar por tuberculosis, eso también es importante.",0.0,26,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Es que yo soy mujer, podemos enfermar; él es hombre, puede enfermar; yo soy un bebé, puedo enfermar. Entonces, es muy importante que sepamos que todos estamos en riesgo de enfermar de tuberculosis.",0.0,33,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Algo importante de comentarles que existe una vacuna, hay una vacuna llamada BCG, que se aplica al nacimiento y esta vacuna nos protege, protege a los niños contra las formas graves de tuberculosis. La forma más grave de tuberculosis es la tuberculosis que se aloja en el cerebro, nosotros le llamamos tuberculosis meníngea, que es una de las partes que está en nuestro sistema nervioso central.",0.0,66,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Entonces, todos los niños y todas las niñas en México, al momento de nacer, es importante que nosotros como papás y como mamás sepamos que debemos de solicitar que se le aplique la vacuna a mi niño.",0.0,37,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"¿Quiénes de nosotros en uno de nuestros bracitos tenemos una cicatriz porque nos aplicaron una vacuna? Esa cicatriz es por la vacuna de la BCG. Una persona de cada 30 no hace cicatriz, pero no quiere decir que la vacuna no sirvió, ojo.",0.0,43,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,¿Qué es lo importante?,0.0,4,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Tener mi cartilla y que en mi cartilla diga que me colocaron la vacuna, si soy un niño de uno a cinco años. Después de esa edad la vacuna ya no me va a proteger.",0.0,35,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Y ojo, no protege contra la tuberculosis pulmonar, sólo protege contra las formas graves, que son las formas más mortales. Por eso es importante que nosotros lo sepamos.",0.0,28,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Finalmente, la tuberculosis es una enfermedad curable si se diagnóstica y se trata a tiempo.",0.0,15,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"¿Cuáles son las manifestaciones de la tuberculosis?, ¿yo cómo puedo saber si tengo que ir al médico a que me haga una prueba para saber si estoy enfermo de tuberculosis?",0.0,30,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"La tuberculosis es una enfermedad que se manifiesta cuando es pulmonar, que ya dijimos que es la que transmite, nosotros vamos a presentar tos con flema de más de 15 días.",0.0,31,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Yo puedo tener tos y no tener flema, pero si yo tengo tos con flema y ya tengo más de 15 días yo tengo que pesar que es tuberculosis, ¿saben por qué?, porque vivimos en México y en México hay tuberculosis, ahorita vamos a ver cuánta tuberculosis hay.",0.0,48,13,10,2020
SANTA ELIZABETH CEBALLOS LICEAGA,"Entonces, es importante que si yo estoy en casa, señor, señora, niño o niña, papá, mamá, si yo estoy en casa y tengo tos con flema de hace más de 15 días, yo tendría que estar acudiendo mi médico para que pueda identificar o diagnosticar si tengo o no tuberculosis.",0.0,50,13,10,2020
