Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RUY LOPEZ RIDAURA," Qué bueno que lo comenta, esta es una muy buena pregunta porque precisamente esto es lo que hemos estado trabajando.",0.0,20,18,10,2020
RUY LOPEZ RIDAURA,"En la semana pasada, como comentó el doctor López-Gatell, presentamos ante el Conasa, la Comisión Nacional de Salud, en donde están todos los secretarios de Salud, secretarios y secretarias de Salud en las 32 entidades, presentamos esta necesidad de que en el proceso este de des-reconversión o de continuidad de la operación, el poder ir concentrando las capacidades en algunas unidades hospitalarias.",0.0,62,18,10,2020
RUY LOPEZ RIDAURA,"Digo, creo que tienen razón, hay señales de alerta en donde pueden incrementarse los casos de hospitalización, hay entidades que todavía tenemos ocupaciones de más del 50 por ciento, pero hay muchas otras entidades donde tenemos ocupaciones muy bajas y con una gran disponibilidad de camas.",0.0,46,18,10,2020
RUY LOPEZ RIDAURA,"Y justo lo que estamos trabajando son planes estatales en donde todo el sector pueda hacer una estrategia de identificar a aquellas unidades que tengan una mayor capacidad resolutiva, no solamente por las camas, sino también por el personal, por el equipamiento que tienen y que de manera, con intercambios de servicios entre sectores, podamos concentrar las capacidades en menos unidades.",0.0,61,18,10,2020
RUY LOPEZ RIDAURA,"Ahorita tenemos alrededor de 970 unidades que reportan en la Red IRAG y queremos disminuirlo, sí queremos disminuirlo porque esto es lo que permite que se pueda incrementar la atención de muchas otras cosas que requieren atención hospitalaria.",0.0,38,18,10,2020
RUY LOPEZ RIDAURA,"Esos son planes que se hacen, que se trabajan con los estados, estamos trabajando con eso, se va a presentar también como acuerdo en la sesión general del Conasa, fue ahora en la Comisión de Salud Pública, y se va a presentar en la sesión, creo que este miércoles, para discutirlo y tomar acuerdos; pero justo son de los puntos que hay que tomar en cuenta.",0.0,66,18,10,2020
RUY LOPEZ RIDAURA,"Pero, aun así, a pesar de estos descensos, pensamos que la estrategia de concentrar capacidades y mantener un número de camas suficientes… También tenemos una serie de criterios para decir: Bueno, hasta cuánto podemos descender, hasta cuánto de todas estas camas disponibles podemos empezarlas a utilizar en otro tipo de atención médica, y cuál serían los límites permitidos como para decir: Bueno, vamos a mantener tal vez el 50 por ciento de esas camas, las seguimos manteniendo para la atención de otro tipo de enfermedades.",0.0,85,18,10,2020
RUY LOPEZ RIDAURA,"Y tenemos el mismo sistema, la Red IRAG y la cooperación federal y estatal para que si en esto vemos también tendencia en las hospitalizaciones poder volver a convertir otras unidades hospitalarias.",0.0,32,18,10,2020
RUY LOPEZ RIDAURA,"La idea principal es que si podemos tener… lo ideal podría ser tener unidades que se dediquen exclusivamente para pacientes con infección respiratoria aguda grave, pero es complicado, es complicado, porque son hospitales que están también cerca de personas que tienen otras necesidades; pero sí consideramos que la posibilidad de hacer un plan sectorial con intercambio claro entre instituciones podamos tener tal vez no hospitales exclusivos para COVID, pero que sean principalmente de atención COVID y así poder ir, en caso necesario se tendrán que abrir más unidades y más camas.",0.0,91,18,10,2020
RUY LOPEZ RIDAURA,Adelante.,0.0,1,18,10,2020
RUY LOPEZ RIDAURA," Esto es un buen punto, creo que lo comentó el doctor López-Gatell cuando estábamos mostrando las curvas europeas, en las curvas europeas creo que no sé si se mostraron las curvas de las defunciones, pero en general, y posiblemente ustedes mismos y la población en general las ha visto en estas diferentes plataformas internacionales, donde lo que se ve como ejemplo, pero hay muchos lugares y regiones del mundo donde se está viendo, que se ve un incremento muy importante en esta segunda ola; sin embargo, no se ha traducido para nada en la misma magnitud en mortalidad o aun en hospitalizaciones.",0.0,102,18,10,2020
RUY LOPEZ RIDAURA,¿Por qué pasa esto?,0.0,4,18,10,2020
RUY LOPEZ RIDAURA,"Puede haber una combinación de muchos factores. En México creemos que, al igual que en muchas otras regiones, sí ha habido toda una etapa de aprendizaje. Hay también la posibilidad, y esto es lo que se ha impulsado desde el gobierno federal con cada una de las entidades en cooperación y en cada una de las entidades se ha insistido, en esto en la necesidad de cada vez recortar más los tiempos de hospitalización, o sea, el ir monitoreando del inicio de síntomas a la hospitalización.",0.0,86,18,10,2020
RUY LOPEZ RIDAURA,"Esto es un indicador bueno en el sentido de que la gente cada vez entienda más que, más aún si pertenecen a grupos del alto riesgo, acudan rápidamente a servicios de atención clínica para que sea evaluados, y en caso de ser necesario que se hospitalicen.",0.0,46,18,10,2020
RUY LOPEZ RIDAURA,"La hospitalización temprana, el uso de oxigenación suplementario temprano, hidratación, claramente son mecanismos que han disminuido importantemente la letalidad de esta enfermedad. Entonces, creo que hay una capacidad mucho mejor que la se tenía en la primera ola, eso en todas las regiones y yo creo que también lo estamos viendo.",0.0,51,18,10,2020
RUY LOPEZ RIDAURA,"Difícilmente ahorita podría yo decir un pronóstico de lo que va a pasar; sin embargo, lo que estamos sí tratando de insistir con la cooperación entre federación y entidades federativas es reforzar estas capacidades hospitalarias, estas capacidades hospitalarias. Como comenté en la pregunta anterior, que queden concentradas en unidades de mayor calidad, de mayor eficiencia y con esto impedir que estos brotes que estamos viendo con casos también se traduzcan en brotes de mortalidad.",0.0,74,18,10,2020
RUY LOPEZ RIDAURA,"No sé si alguien más, alguna otra pregunta. Adelante, tenemos tiempo todavía.",0.0,12,18,10,2020
RUY LOPEZ RIDAURA," Bueno, de la segunda pregunta, realmente tampoco se cuenta con mucha información, entonces es muy difícil saber exactamente cuál era el estado clínico, cuál era el compromiso que tenía pulmonar, digo, es muy difícil; entonces, pues no tengo personal ningún otro comentario.",0.0,42,18,10,2020
RUY LOPEZ RIDAURA,"Saber nada más que qué bueno que la recuperación fue pronta, pero dado que no conocemos el estado en el que ingresó o por lo que ingresó, difícilmente podríamos tener una respuesta clara por qué en dos, tres mejoró y ya pudo además también continuar con sus actividades.",0.0,48,18,10,2020
RUY LOPEZ RIDAURA,"Pero la primera pregunta creo que es muy importante porque sí, digo, lo hemos dicho muchas veces y desde mayo, la idea principal de decir, ¿hay una posibilidad de rebrote?, sí, ¿y hay la posibilidad de que alguna vez México tenga esto?, sí y ya lo vemos, o sea, a la fecha tenemos ocho entidades donde podríamos decir que tienen un rebrote, tienen ya varias semanas de incremento, algunas entidades han rebasado también en este incremento el pico máximo que lograron en algún momento, similar a lo que estamos viendo en los países europeos, tal vez de mucha menor intensidad, de mucha menor velocidad, pero esto implica que se dé un paso también de un incremento en las medidas de restricción.",0.0,121,18,10,2020
RUY LOPEZ RIDAURA,"Justo la idea de tener este semáforo, ese semáforo que combina 10 indicadores especialmente para ayudar en las entidades federativas el poder decir cuándo… Digo, veníamos con un descenso en el desconfinamiento se están abriendo actividades económicas que son muy importante que se abran, se abren empresas y llegó un momento en el que debemos de decir: Bueno, tenemos que disminuir el desconfinamiento, tenemos que tal vez volver a cerrar algunas empresas que están ocasionando mayor movilidad en el espacio público, ir viendo, porque todavía tenemos una oportunidad muy buena de que este ascenso no se convierta en un ascenso continuo semana con semana.",0.0,104,18,10,2020
RUY LOPEZ RIDAURA,"Entonces, sí hay muchas medidas especialmente en estas medidas de restricción de disminución de la movilidad que podemos hacer.",0.0,19,18,10,2020
