Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HOMERO FERNANDEZ PEDROZA," Muchas gracias, subsecretario.",0.0,3,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Es un honor estar aquí compartiendo la mesa con usted, doctor.",0.0,11,8,10,2020
HOMERO FERNANDEZ PEDROZA,Muchas gracias a todos los medios de comunicación y compañera subsecretaria Natalia.,0.0,12,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Yo también me sumo al abrazo fraterno y largo, grupal, a nuestra secretaria de Cultura por el fallecimiento de don Antonio.",0.0,21,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Como mencionábamos, Cencalli, La Casa del Maíz y la Cultura Alimentaria… Voy a leer un pequeño texto que escribió Cristi Navarro, que está al frente de la investigación y del guion curatorial, que justo dice que no lo llaman museo porque el maíz es una planta viva, por eso es la Casa del Maíz y de la Cultura Alimentaria.",0.0,59,8,10,2020
HOMERO FERNANDEZ PEDROZA,"El Espacio Cultural Cencalli, La Casa del Maíz, será un lugar de encuentro en el que el maíz se muestre con toda su complejidad como la planta más importante para la vida social y cultural del pueblo de México.",0.0,39,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Hemos elegido como nombre Cencalli, que significa en náhuatl la casa del maíz, derivada de los vocablos centli, maíz, y calli, casa.",0.0,22,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Cencalli también puede traducirse como troje, que es un lugar en el que se guarda el maíz, de hecho habrá varias trojes de diferentes partes del país alrededor de este lugar.",0.0,31,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Este lugar es el Molino del Rey, es el primer molino o de los primeros molinos de América; sin embargo, estaba dedicado al trigo y parte de esto es resignificar y redignificar implica el convertirlo en una casa del maíz.",0.0,40,8,10,2020
HOMERO FERNANDEZ PEDROZA,"El museo constará de ocho salas en las que se revisarán los siguientes temas y subtemas: domesticación y diversidad, la milpa y otros sistemas de cultivo mesoamericano, maíz y nixtamalización, la cocina del maíz, el valor simbólico del maíz, el maíz en el mundo, el futuro del maíz, el maíz en el arte.",0.0,53,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Bueno, estas serán representadas a través de fotografías, bordados, cuadros de semilla, infografías, textos, escultura. En colaboración con el INAH vamos a tener también piezas mesoamericanas y en la sala de arte vamos a tener piezas también de artistas contemporáneos, va a haber un muro dedicado al maestro Toledo.",0.0,49,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Vamos a tener también una réplica del adolescente huasteco, que es el dios del maíz, va a haber utensilios de labranza, mesa maya, una cocina purépecha, arte popular y la idea es también representar a todos los pueblos originarios y su relación con el maíz.",0.0,45,8,10,2020
HOMERO FERNANDEZ PEDROZA,"También, como lo decía la subsecretaria Toledo, en esa misma plaza se va a generar un nuevo espacio público que se conecta con la Casa de Los Pinos, que es la que estamos trabajando ahorita.",0.0,35,8,10,2020
HOMERO FERNANDEZ PEDROZA,"El museo fue comisionado al arquitecto Óscar Hagerman, que a su vez invitó al despacho Cano Vera y a Tuux, de Emiliano Godoy, quienes están trabajando en colaboración en la parte de investigación con la doctora Cristina Barros, ellos están haciendo la museografía. No trajimos fotos de cómo va y cómo iría el espacio, pero están haciendo un gran trabajo que podrán todos observar y disfrutar. Terminaremos los trabajos a finales de febrero del próximo año.",0.0,76,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Y bueno, si quieren pasar otra vez la presentación ¿o aquí terminamos?, bueno, aquí terminamos.",0.0,15,8,10,2020
HOMERO FERNANDEZ PEDROZA, Adelante.,0.0,1,8,10,2020
HOMERO FERNANDEZ PEDROZA," Habrá una sala… Bueno, también se me olvidó decir que el Molino del Rey, junto con Casa Mata y el Castillo de Chapultepec formaron el frente contra la guerra, contra los Estados Unidos, y ahora también es interesante porque ahora va a ser esta guerra que estamos librando, que parte muy importante es la parte alimentaria, si no tuviéramos el problema de alimentación que hoy tenemos en el país desafortunadamente no nos estaría yendo tan mal.",0.0,76,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Y parte de los programas, por ejemplo, voy a mencionar algunos programas, los cuales la Secretaría de Cultura ha implementado con Dirección General de Culturas Populares, Indígenas y Urbanas, que también aprovecho para mandarle un saludo a Mardonio Carballo y a su equipo, hicieron Las Semillas que nos Dieron Patria, que busca reconocer y difundir el uso y consumo de nuestras plantas entre grupos indígenas y urbanos del país.",0.0,69,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Cartografía de sabores es una publicación que se pensó impresa pero ahora es digital y la pueden ver también en nuestra plataforma de Contigo a la distancia, conjunta la poesía, geografía, gastronomía y las lenguas indígenas para difundir los beneficios de plantas o semillas poco conocidas como el colorín, el maíz morado y la calabaza, que eso tiene que ver un poco con la memoria y el traer de vuelta estas cosas ancestrales, esta cultura ancestral que como han estado mencionando, la milpa que tiene estos cuatro elementos principales, pero se han encontrado más de 60 elementos en una milpa de la sierra de Puebla, incluidos insectos, incluidos quelites, plantas medicinales.",0.0,111,8,10,2020
HOMERO FERNANDEZ PEDROZA,"También está parte que vamos a tratar en el Museo del Traspatio. El traspatio es este lugar tan importante para la casa mexicana, donde se crecen los animales, se crían los animales, las plantas medicinales.",0.0,35,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Y habrá una sala dedicada al maíz y a la nixtamalización. La nixtamalización se descubrió hace mil 200 año, y esto hace que el maíz se pueda digerir mejor. Va a haber un subtema en esa sala que se llama Los beneficios de la nixtamalización para la nutrición y para la salud, además de muchos otros temas.",0.0,57,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Hicimos nosotros desde Pinos una convocatoria, también lanzada a través de Contigo en la distancia, que se invitó a las familias en sus casas a cocinar, y esa es la idea, que regresemos a este hábito, a estas costumbres de cocinar con la milpa, haciendo hincapié en que podríamos regresar a mejorar la parte nutricional si dejamos a un lado las bebidas azucaradas, las bebidas ultraprocesadas y nos enfocamos también a nuestros orígenes.",0.0,73,8,10,2020
HOMERO FERNANDEZ PEDROZA,"De la tierra a la mesa fue una serie de videos que buscan fomentar y promover un consumo de alimentos locales sustentables, cultivados con manejo respetuosos del medio ambiente con el fin de crear una autonomía alimentaria y rescatar nuestras tradiciones agrícolas.",0.0,42,8,10,2020
HOMERO FERNANDEZ PEDROZA,"Y además del Cencalli, va a estar rodeado por lo que ahora será la plaza del maíz, y enfrente está el edificio que fue la galería histórica del Estado Mayor Presidencial, ahí va a ser el Fonart, y juntos vamos a lograr todo un ciclo. También, la idea es tener en esa plaza el maíz, un tianguis de comida orgánica y es eso, promoción y difusión de la cultura alimentaria.",0.0,70,8,10,2020
HOMERO FERNANDEZ PEDROZA," El tianguis, el tianguis no, Fonart sí, y el Cencalli será un museo permanente para la visita, que agregará parte a la oferta cultural de Chapultepec, será la primera institución o museo que se va a inaugurar será este 19 de octubre en el aniversario luctuoso del general Cárdenas, se va a inaugura la Casa Presencial Lázaro Cárdenas y el segundo será el Cencalli, la Plaza del Maíz y Fonart.",0.0,70,8,10,2020
