Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ADELA AYENSA ALONSO, Gracias.,0.0,1,18,11,2020
ADELA AYENSA ALONSO,"El Frente Unido por el Cáncer de Pulmón está constituido por tres organizaciones de la sociedad civil, que son Respirando con Valor, Fundación de Alba y Fundación Salvati, y hoy nos sumamos para lanzar una campaña para hablar de los factores de riesgo involucrados con el cáncer de pulmón.",0.0,49,18,11,2020
ADELA AYENSA ALONSO,"Además del consumo del tabaco, del que ya hemos hablado, existen otros factores de riesgo para el desarrollo del cáncer de pulmón, entre ellos está la contaminación ambiental, el humo de leña o el humo de parrillas de carbón, los factores genéticos, el humo de tabaco de segunda mano, sustancias tóxicas, como el arsénico, asbesto y radón, y enfermedades pulmonares previas.",0.0,61,18,11,2020
ADELA AYENSA ALONSO,Hay que recordar siempre que una detección de cáncer de pulmón te brinda más y mejores opciones de tratamiento.,0.0,19,18,11,2020
ADELA AYENSA ALONSO,"El cáncer de pulmón en personas no fumadoras. El tabaquismo es el principal factor de riesgo, el tabaco no es la única causa, y para romper este paradigma hay que dar a conocer a la gente, en general, los otros factores.",0.0,41,18,11,2020
ADELA AYENSA ALONSO,Las mujeres representan el 53 por ciento de pacientes con cáncer de pulmón entre las personas que nunca han fumado y en algunos países desarrollados el cáncer de pulmón en personas no fumadoras es la sexta causa de muerte.,0.0,39,18,11,2020
ADELA AYENSA ALONSO,"La contaminación ambiental representa el 29 por ciento de todas las muertes y enfermedades por cáncer de pulmón, esto a nivel global.",0.0,22,18,11,2020
ADELA AYENSA ALONSO,Siete millones de muertes prematuras en el año 2016 fueron a causa de la contaminación ambiental y el 88 por ciento de estas muertes ocurren en países de ingresos bajos y medios.,0.0,32,18,11,2020
ADELA AYENSA ALONSO,"Los altos niveles de contaminación de aire aumentan el riesgo de infecciones respiratorias, enfermedades cardiacas, derrames cerebrales y cáncer de pulmón.",0.0,21,18,11,2020
ADELA AYENSA ALONSO,"La contaminación en el aire, está asociada al uso de combustibles y cocinas de leña, en México el 11 por ciento de la población utiliza la leña para calentar sus casas o sus alimentos y las mujeres mexicanas están en riesgo por la exposición al humo de leña.",0.0,48,18,11,2020
ADELA AYENSA ALONSO,"Y por eso nos juntamos para hacer lanzamiento de esta campaña, junto con el Conadic y la Secretaría de Salud, con estos mensajes donde damos a conocer la Línea de Vida del Conadic y damos a conocer esta información al público en general, sobre todo a hombres, mujeres y jóvenes, para que vean la importancia que es el dejar de fumar.",0.0,61,18,11,2020
ADELA AYENSA ALONSO,Gracias.,0.0,1,18,11,2020
ADELA AYENSA ALONSO, Gracias.,0.0,1,18,11,2020
ADELA AYENSA ALONSO,"Sí, esta alianza consiste en que tanto en todas, bueno, en las redes del frente unido, como de cada una de las fundaciones que somos parte de él, vamos a publicitar los carteles que vieron al finalizar la presentación, donde ponemos todo esto lo que son los factores de riesgo.",0.0,50,18,11,2020
ADELA AYENSA ALONSO,"Y también invitamos a la gente que quiera dejar de fumar, que se comunique a la línea de la vida del Conadic.",0.0,22,18,11,2020
ADELA AYENSA ALONSO,"Igualmente, en cada una de las fundaciones se les va a dar esta información a las personas que se comuniquen o que tengan dudas.",0.0,24,18,11,2020
