Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARIA LUISA SORIANO RODRIGUEZ, Buenas tardes tengan todos ustedes.,0.0,5,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Yo soy la doctora María Luisa Soriano Rodríguez, soy la directora del Hospital General del Zona 71, ubicado al oriente del Estado de México, específicamente en el municipio de Chalco, uno de los municipios más afectados.",0.0,36,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Tenemos una población derechohabiente adscrita de aproximadamente medio millón de habitantes que radican desde el municipio de Valle de Chalco hasta el municipio de Ecatzingo, que colinda con el estado de Morelos.",0.0,32,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Este hospital, por su infraestructura, ha tenido una reconversión importante. De 85 censables hemos reconvertido 65 camas con una ocupación máxima en el mes de mayo y que nuevamente se presenta en estos momentos.",0.0,34,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Somos un hospital híbrido que atendemos lo COVID y lo no COVID. Nuestra formación, nuestra misión en el Instituto Mexicano del Seguro Social es atender con calidad. Esto ha ido mermando, ya que hace nueve meses aproximadamente teníamos más manos con las que podíamos contar.",0.0,45,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Mis compañeros salieron a atender una enfermedad desconocida y mortal, fuese la que fuese su especialidad.",0.0,16,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Estando en la primera línea de batalla, muchos hemos enfermado, nos hemos recuperado y hemos regresado a la atención, otros no han tenido esa suerte, han perdido esa batalla, pero seguimos los que estamos ahí, al frente.",0.0,37,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Mis compañeros están agotados, no sólo llevan marcas en la cara, llevan marcas en la piel, llevan marcas en el alma por los seres que hemos perdido.",0.0,27,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Seguimos exponiendo la salud, la vida, la familia, estando en el contacto directo, pero ahí estamos porque para eso fuimos formados.",0.0,21,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,El instituto aperturó como una estrategia importante para los hospitales que no teníamos tanta infraestructura.,0.0,15,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Los centros de convalecencia, como lo es el autódromo, que en comunicación con el doctor Michel, en esa zona, en el oriente del estado, tuvimos una coordinación importante desde inicios de la pandemia a la fecha para poderle trasladar a pacientes convalecientes.",0.0,42,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Sin embargo, si la ciudadanía no nos ayuda, tanto los centros de convalecencia, como los hospitales, estamos saturados y no vamos a tener en su momento para dónde movernos.",0.0,29,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Se han establecido estrategias, la última estrategia, nuestros hermanos IMSS de los estados Puebla y Tlaxcala nos han abierto sus puertas para trasladar pacientes y poder seguir dando esa atención.",0.0,30,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Sin embargo, por la labor, por la salud, por la vida de mis compañeros y compañeras que nos mantenemos en la línea de batalla, yo vengo a hacer un llamado a la ciudadanía para que nos quedemos en casa. No es el momento de reuniones, no es el momento de convivencias, es el momento de poder apoyarnos también a nosotros.",0.0,60,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Nosotros, sin duda, el Instituto Mexicano del Seguro Social nos ha formado para servirles, le seguimos sirviendo en la primera línea, estamos cansados, pero tenemos la actitud y fuerza, pero queremos que nos ayuden.",0.0,34,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Y hago un llamado a los mexicanos, a las mexicanas, a los y las mexiquenses, a que se queden en casa.",0.0,21,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Ayúdennos a servirles, queremos seguirles sirviendo y aquí estamos, aquí seguimos.",0.0,11,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Por favor, quédense en casa.",0.0,5,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ," En respuesta a su pregunta, esta situación que el virus nos ha dejado, de inicio llega como una enfermedad desconocida a la que nos enfrentamos con las medidas que considerábamos necesarias; sin embargo, esas medidas que se establecen en la población se pierden y no se guardan.",0.0,47,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"El virus se presenta en distintas formas en cuanto a su sintomatología, día a día lo vemos en los hospitales.",0.0,20,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Yo les comentaba que el Hospital General de Zona 71 en Chalco es un hospital híbrido. Hemos llegado a recibir pacientes con primer diagnóstico pancreatitis, que llegan a un área no COVID y que al tomarle la cantidad de estudios necesarios nos damos cuenta que es COVID, ahí ya hay una exposición porque llega con un primer diagnóstico que no es como tal de sospecha COVID.",0.0,66,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"Al inicio de la pandemia, no todos presentaban manifestaciones respiratorias, presentaban manifestaciones gastrointestinales, ahora ya encuadradas en un diagnóstico quirúrgico, encuadradas en una paciente obstétrica que llega por atención del embarazo, del parto y que consigo trae COVID.",0.0,38,17,12,2020
MARIA LUISA SORIANO RODRIGUEZ,"A eso nos estamos exponiendo, porque no todos tienen manifestaciones de inicio respiratorias, de ahí viene la contaminación también a la que nos exponemos, a la que se exponen sus familias, si a eso sumamos las medidas que no guardamos y que hoy venimos a reiterarles nos apoyen en guardarlas y sobre todo en quedarse en casa pudiese ser respondida su pregunta.",0.0,62,17,12,2020
