Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GUSTAVO REYES TERAN," Gracias. No hay que olvidar que el concepto de una epidemia es un concepto en evolución siempre, es un concepto dinámico y que puede cambiar de un día para otro, es muy importante tenerlo en mente. Siempre abro mis reuniones con los coordinadores de la atención médica diciendo: hoy puede ser el punto de inflexión y a partir de hoy puede que esto cambie o a partir de mañana.",0.0,69,10,03,2020
GUSTAVO REYES TERAN,"Y en cada reunión -tenemos dos o tres reuniones por semana- inicio justamente diciendo que cualquier momento puede cambiar. Este es un concepto en evolución, es muy dinámico y que debemos estar preparados para ello.",0.0,35,10,03,2020
GUSTAVO REYES TERAN,"Es un concepto que los medios de comunicación deben de tener, también yo creo que la población en general debe de tener y que nos va a hacer cambiar en la respuesta que debe tener de nuestra parte como autoridades sanitarias, o la parte también de los medios de comunicación e incluso la población general.",0.0,55,10,03,2020
GUSTAVO REYES TERAN,"Les he dicho previamente, o les hemos dicho previamente, que el grupo más vulnerable, el grupo que contiene el mayor riesgo para llegar a hospitalización es el grupo de personas adultas mayores, es otro de los conceptos que debemos de tener muy claro.",0.0,43,10,03,2020
GUSTAVO REYES TERAN,"Los adultos mayores son los que tienen mayor riesgo de tener la enfermedad crítica, un cinco por ciento del total de infectados tienen la enfermedad crítica, un 15 por ciento tienen una enfermedad que podría requerir de atención hospitalaria y un 80 por ciento generalmente adultos, jóvenes y personas adultas que no van a tener síntomas o pueden tener síntomas leves.",0.0,61,10,03,2020
GUSTAVO REYES TERAN,"Más bien a mí me gustaría, como lo hice hoy en la reunión que tuve hace un par de horas con el grupo de coordinadores de la atención médica interinstitucional, es decir qué estrategias debemos de tener para proteger a los adultos mayores, incluso invité al director general del Instituto Nacional de Geriatría, hemos invitado a las asociaciones de instancias, de adultos mayores y de los cuidados de adultos mayores, pero también a la población en general.",0.0,77,10,03,2020
GUSTAVO REYES TERAN,"Yo pienso que es una responsabilidad por nuestra parte obviamente en decir en cada una de las conferencias de qué manera podemos mitigar cuando nos llegue el escenario de la transmisión comunitaria, cómo podemos mitigar con todo lo que se están haciendo.",0.0,42,10,03,2020
GUSTAVO REYES TERAN,"Ya ha hablado el doctor José Luis Alomía de las medidas que se tomarán en su momento, pero también más allá de lo que nosotros estamos diciendo, los medios de comunicación juegan un papel fundamental para transmitir lo que es casi sinónimo de la mitigación que hace el distanciamiento social y son las medidas clásicas de salud pública, las sabemos perfectamente bien, lavado de manos con frecuencia, no acercarse a personas que tiene una infección o síntomas de una infección aguda respiratoria y tener en general un distanciamiento de las personas, si hay una persona con síntomas obviamente debe mantenerse a distancia.",0.0,102,10,03,2020
GUSTAVO REYES TERAN,"Estoy hablando cuando ya se presente el escenario de una transmisión comunitaria donde se pierde ese vínculo de la persona que infecta al caso que nosotros hemos detectado, que todavía hasta el momento tenemos la fuente de los contagios, la fuente de la transmisión de la infección hasta este momento.",0.0,50,10,03,2020
GUSTAVO REYES TERAN,"Puede cambiar en cualquier momento y debemos estar preparados, preparados para lo peor con lo mejor que tenemos.",0.0,18,10,03,2020
GUSTAVO REYES TERAN," Y hay que esperar las seis horas aproximadamente en que sale el resultado, pero muy importante, en ese tiempo, la persona que cumple los criterios operacionales de un caso probable o un caso sospechoso se mantiene en aislamiento o en resguardo.",0.0,41,10,03,2020
GUSTAVO REYES TERAN,"Si los síntomas son leves o moderados, se mantiene en su domicilio; si los síntomas son graves, se va a un hospital. Importante yo creo en este punto decirles que, en el trabajo cotidiano de los hospitales, que aún nos encontramos en un traslape con la temporada de influenza, importante el número de pacientes que son hospitalizados por una enfermedad respiratoria aguda va a disminuyendo en los hospitales de referencia, sobre todo el INER, que es el hospital por excelencia de referencia de las enfermedades de vías respiratorias, o el Instituto Nacional de Ciencias Médicas y Nutrición, y el número de pacientes hospitalizados por enfermedad respiratoria va disminuyendo. Ese es un dato importante porque de alguna forma es una manera de medir el impacto de una transmisión comunitaria.",0.0,128,10,03,2020
GUSTAVO REYES TERAN,"Hasta ahora en el INER no ha habido casos graves y se han buscado, en estas semanas se hicieron casi 100 pruebas, solamente en esta semana; y lo digo porque hubo una pregunta relacionada con el número de pruebas para ver en los casos hospitalizados por enfermedad respiratoria en el instituto se descartara el SARS coronavirus-2.",0.0,56,10,03,2020
GUSTAVO REYES TERAN,"Y todos los resultados fueron negativos, absolutamente en el INER solamente ha habido un caso positivo, que fue un caso con una enfermedad leve, se mantuvo en aislamiento, ya les explicamos previamente por qué, y que ahora está en su domicilio, terminó ya el periodo de cuarentena y puede hacer sus actividades normales.",0.0,53,10,03,2020
GUSTAVO REYES TERAN,En Nutrición se está llevando a cabo también una vigilancia hospitalaria en los pacientes graves hospitalizados y sobre todo que cumplan algunos criterios para hacerles la prueba.,0.0,27,10,03,2020
GUSTAVO REYES TERAN,Hasta es el momento los resultados han salido negativos y concuerda perfectamente bien con los casos que se han reportado en el país y considerados hasta este momento como casos importados.,0.0,31,10,03,2020
