Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GUSTAVO REYES TERAN," Muchas gracias, Ricardo y gracias ustedes por estar aquí. Buenas noches, nuevamente.",0.0,12,29,03,2020
GUSTAVO REYES TERAN,"Voy a presentarles brevemente lo básico sobre la reconversión hospitalaria, es un concepto fundamental para responder a un problema epidémico, pandémico, como el que estamos enfrentando hoy en día.",0.0,29,29,03,2020
GUSTAVO REYES TERAN,"El objetivo general de una reconversión hospitalaria es coordinar e integrar la respuesta hospitalaria para la atención de pacientes graves, en este caso por COVID-19 como modelo de reconversión.",0.0,29,29,03,2020
GUSTAVO REYES TERAN,Es importante considerar y reconocer que hospitales como el Instituto Nacional de Enfermedades Respiratorias o el Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán han hecho esto previamente cuando tuvimos la pandemia por influenza AH1N1 y cada invierno regularmente el INER hace reconversiones hospitalarias para poder mantener estables o atender médicamente a los pacientes graves con influenza.,0.0,58,29,03,2020
GUSTAVO REYES TERAN,"Sin embargo, la carga de la enfermedad esperada en esta pandemia por COVID-19 hace que no solamente estos dos hospitales, sino la mayoría de los hospitales del país tengan este concepto y adopten este modelo de reconversión hospitalaria.",0.0,38,29,03,2020
GUSTAVO REYES TERAN,"Me voy a centrar mucho en esta breve explicación sobre la reconversión hospitalaria en lo que es la Ciudad de México y el Estado de México, importante decirlo, muy probablemente serán los sitios, las regiones donde se presentará la mayor cantidad de casos graves que requieran hospitalización, estoy hablando no por tasa de incidencia, sino por número de personas que van a requerir una atención hospitalaria.",0.0,66,29,03,2020
GUSTAVO REYES TERAN,"Importante, antes que cualquier otra cosa, es que cada hospital, sus directivos, consideren estas verificaciones, la capacidad con que se cuenta en este momento, en este momento, en el momento inicial de la pandemia y es, primero, una lista de personal y de especialidades, sus fuentes de oxígeno y aire, y número, tanto en número, como la utilidad que debe de darse a cada una de las camas que se necesitan para atender a los pacientes graves.",0.0,77,29,03,2020
GUSTAVO REYES TERAN,"El número de ventiladores mecánicos también y su utilidad, la cantidad de sus monitores y la integridad de sus módulos y sensores, la eficiencia de los compresores de gases en litros por hora, esto es un aspecto importante que debe de tomarse en cuenta, es decir, no en cualquier espacio se puede poner una cama y atender a un paciente grave, se necesitan reunir condiciones muy particulares para que realmente se considere un cuarto que pueda dar los cuidados intensivos con una persona grave o en estado crítico.",0.0,88,29,03,2020
GUSTAVO REYES TERAN,"La eficiencia de los generadores eléctricos y las plantillas auxiliares, tener el número de camas totales que podrían atender en una contingencia como esta, no solamente en la situación actual, sino pensar en una segunda etapa y en una tercera etapa de reconversión, es decir, utilizar el máximo espacio posible en los hospitales y en ocasiones en otros espacios para poder atender debidamente a los pacientes que lo requieran.",0.0,69,29,03,2020
GUSTAVO REYES TERAN,"Al iniciar la afluencia de pacientes con COVID deben suspenderse los servicios de atención ambulatoria y también las cirugías selectivas para contar con el mayor número de personal dedicado al problema, obviamente no en todos los hospitales.",0.0,37,29,03,2020
GUSTAVO REYES TERAN,"Es necesario tener una coordinación entre hospitales para seleccionar los que predominantemente verán a los pacientes con COVID-19, como se ha hecho hasta ahora, y seleccionar a los hospitales que no verán predominantemente a los pacientes con COVID-19, que sirvan de apoyo para los pacientes que no puedan atenderse en los hospitales COVID o en hospitales que predominantemente atenderán al COVID en sus formas graves, esto para mantener la atención no solamente el COVID-19, a los pacientes con COVID-19, sino también los pacientes que tengan otras enfermedades, desde luego.",0.0,89,29,03,2020
GUSTAVO REYES TERAN,"Y proyectar cuando se está a un 50 por ciento de ocupación en cada una de las fases el número de camas disponibles, proyectar las necesidades de una nueva capacitación a nuevo personal que podría ser requerido para transitar a la fase dos o fase tres.",0.0,46,29,03,2020
GUSTAVO REYES TERAN,"Cuando hablo de fases, hablo de las fases de reconversión hospitalaria para no confundir con las fases o los escenarios que hemos planteado de la epidemia en México, de la pandemia.",0.0,31,29,03,2020
GUSTAVO REYES TERAN,"Y conforme van llenándose las camas disponibles, uno obviamente tiene que ir pensando en cómo evolucionar hacia la fase dos y cuando la fase dos se complete, hacia la fase tres de ocupación de las camas.",0.0,36,29,03,2020
GUSTAVO REYES TERAN,"Poniendo como ejemplo lo que estamos haciendo en Ciudad de México y en el Estado de México donde estamos utilizando a los Institutos Nacionales de Salud, a los hospitales federales de referencia y a los hospitales regionales de alta especialidad para poder interactuar coordinadamente entre todos y mantener los hospitales que van a ver pacientes con COVID en sus formas graves lo más desocupado posible y esto solamente se puede hacer con una buena interacción entre los centros que hemos llamado Centros COVID y los centros no COVID.",0.0,88,29,03,2020
GUSTAVO REYES TERAN,"Dentro de los Centros COVID están el Instituto Nacional de Enfermedades Respiratorias, el Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, está el Hospital General de México, el Hospital Juárez de México, el Hospital Gea González, que actúa como un híbrido de atención, tanto a pacientes con COVID como a pacientes no COVID y el Hospital Infantil de México inicialmente como el instituto nacional de salud que atenderá a pacientes niños o menores de 18 años con COVID-19 grave.",0.0,80,29,03,2020
GUSTAVO REYES TERAN,"Y los no COVID está el Instituto Nacional de Cancerología, el Instituto Nacional de Cardiología, el Instituto Nacional de Rehabilitación, el Instituto Nacional de Pediatría, inicialmente el menos, y el Instituto Nacional de Perinatología.",0.0,34,29,03,2020
