Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALETHSE DE LA TORRE ROSAS, Muchas gracias. Buenas noches a todas y a todos.,0.0,9,7,03,2020
ALETHSE DE LA TORRE ROSAS,"Y, bueno, el día de hoy me gustaría comentarles a detalle lo que se ha estado haciendo en esta fase en términos de planeación para la procuración de los insumos que se requerirán durante los siguientes escenarios.",0.0,37,7,03,2020
ALETHSE DE LA TORRE ROSAS,"Es importante comentar que esto es basado en los mecanismos de transmisión que sabemos ocurren para COVID-19. Como se ha comentado en conferencias previas, nada más como un pequeño recordatorio, existen tres principales mecanismos de transmisión:",0.0,36,7,03,2020
ALETHSE DE LA TORRE ROSAS,"Número uno, a través de gotitas, estas gotas se producen cuando, por ejemplo, hablamos, tosemos y demás. En este momento yo estoy produciendo gotas, éstas miden más de cinco micras y no van a alcanzar una distancia mayor a el metro de distancia. Quiere decir que ahorita mis gotas probablemente estén en esta mesa.",0.0,54,7,03,2020
ALETHSE DE LA TORRE ROSAS,"El siguiente punto es a través de un contacto, que puede ser un contacto directo con la persona que tiene síntomas y que tiene la posibilidad de transmitir del virus o bien a través de un contacto indirecto. Supongamos que yo tengo COVID-19, produzco estas gotitas, estas gotitas quedan en la superficie y después llega alguien más y toca esta superficie, eso es a través de estos mecanismos de contacto indirecto, no tuvo contacto conmigo, pero tuvo contacto con esta superficie.",0.0,81,7,03,2020
ALETHSE DE LA TORRE ROSAS,"A la hora que alguien más toca esta superficie, el virus, si está en esta superficie, no va a pasar nada, no le van a salir patitas, no va a brincar, no va a generar ningún otro tipo de transmisión, pero si yo lo toco, entonces transfiero estos virus que quedaron estas superficies inanimadas hacia mis manos o hacia aquellas zonas que estuvieron expuestas con este contacto.",0.0,67,7,03,2020
ALETHSE DE LA TORRE ROSAS,"Nuevamente, en mis manos no va a pasar nada, tengo que hacer un tipo de autoinoculación y por eso ha sido muy claro el mensaje desde el principio de un mecanismo que sabemos que es importante de no tocar ojos, nariz y boca.",0.0,43,7,03,2020
ALETHSE DE LA TORRE ROSAS,"Y si nosotros vemos si a lo largo de esta conferencia hemos visto que básicamente es algo muy difícil de lograr, es algo extraordinariamente difícil y por eso es que el mensaje es: ‘Hágase frecuentemente higiene de manos, lávese las manos con agua y jabón o con soluciones alcoholadas’.",0.0,49,7,03,2020
ALETHSE DE LA TORRE ROSAS,Siempre nos verán estar preparados y traer nuestras soluciones alcoholadas y entonces tener la acción que realmente sabemos que va a proteger a todos y a todas.,0.0,27,7,03,2020
ALETHSE DE LA TORRE ROSAS,¿Qué quiere decir esto?,0.0,4,7,03,2020
