Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO CORTES ALCALA," Con mucho gusto, subsecretario.",0.0,4,12,04,2020
RICARDO CORTES ALCALA,"Antes de iniciar y compartir esta información que hemos estado poco a poco gestionando con el apoyo de muchas personas, con el apoyo de muchos equipos, de Comunicación Social, de comunicación de riesgos en Presidencia, en la Secretaría de Salud, en la propia Dirección General de Promoción de la Salud, también quiero agradecer a la gente que a través de Twitter ha estado en comunicación conmigo para hacerme ver lo que la ceguera de taller a veces no nos permite ver.",0.0,81,12,04,2020
RICARDO CORTES ALCALA,"Este resultado de esta comunicación con la población a través de Twitter nos llevó a tener ahora una sección que nos parece que es mejor, que siempre será perfectible de información, accesible para personas con diferentes discapacidades.",0.0,37,12,04,2020
RICARDO CORTES ALCALA,"Entonces, vamos a empezar con esta, la portada, esto es lo primero que ve la gente: Quédate en casa y descarga la aplicación para cualquiera de los dos sistemas disponibles.",0.0,30,12,04,2020
RICARDO CORTES ALCALA,"La aplicación COVID-19MX, que ya hemos platicado sobre ella, ya llevan… tenemos más de 100 mil descargas de esta aplicación y poco a poco iremos recabando información de esta aplicación conforme la gente la vaya utilizando. No sólo basta con la descarga de la aplicación, sino que hay que utilizarla para poder utilizar esos datos en favor de la propia población y en favor de nuestra toma de decisiones.",0.0,69,12,04,2020
RICARDO CORTES ALCALA,"Tenemos diferentes botones que son, la verdad, desde mi punto de vista muy interesantes.",0.0,14,12,04,2020
RICARDO CORTES ALCALA,"Empezamos con: ‘Información accesible’, hay cursos para población para ciudadanía general, un directorio de contacto por estado, ‘Cuida tu salud mental’, la sección para niños que ayer el doctor colega y amigo José Luis Alomía presentó, recomendaciones para la población, preguntas frecuentes, sitios de interés que vamos agregando otros sitios, la zona para personal de salud.",0.0,56,12,04,2020
RICARDO CORTES ALCALA,"Un área de mitos y realidades que es muy interesante y que es importante que todos vayan conociendo y que también nos vayan diciendo desde la ciudadanía con estos canales Twitter, Facebook, o sea, qué otros mitos han escuchado, han visto, han… para poder saber si es un mito o es una realidad y poderlos colocar en esta zona.",0.0,59,12,04,2020
RICARDO CORTES ALCALA,"Materiales de consulta, que los presentamos hace algunas sesiones en donde personal de salud y la ciudadanía tiene materiales de consulta específicos para ciertos temas, ahí es en donde también estarán los materiales, los lineamientos para la atención específica de personas con discapacidad.",0.0,43,12,04,2020
RICARDO CORTES ALCALA,"Hay artículos científicos disponibles, la sección de adultos mayores, que también vamos alimentando poco a poco, acciones con perspectiva de género, que nos lleva a la página del Centro Nacional de Equidad de Género y Salud Reproductiva, que tiene material específico.",0.0,41,12,04,2020
RICARDO CORTES ALCALA,"Y, por último, tres botones muy específicos y muy especiales:",0.0,10,12,04,2020
RICARDO CORTES ALCALA,"‘Contigo en la distancia, cultura desde casa’. Muchísimas gracias a la Secretaría de Cultura. Nos lleva a nuestros museos desde internet. Entonces, Contigo a la distancia es una iniciativa de la Secretaría de Cultura y se accede a través de este botón.",0.0,42,12,04,2020
