Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Gracias, doctor José Luis Alomía.",0.0,5,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ,"Son las 19:25, vamos a abrir a preguntas y respuestas. Adelante, Juan Hernández, usted, Daniela Pastrana, nos vamos por allá, Alejandro, muy buenas tardes, Carlos está aquí también, por favor ahí vamos distribuyendo.",0.0,33,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ," Muchas gracias. No tengo información directa, este es un proyecto de colaboración que ha establecido el gobierno de la Ciudad de México, me parece que la semana pasada la secretaria de Salud de la ciudad, nuestra querida doctora Oliva López Arellano lo había comentado públicamente y ellos tienen los elementos específicos.",0.0,51,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ,"La Ciudad de México, como otras ciudades grandes o como una entidad federativa que es, tiene un área de colaboración internacional, de relaciones internacionales, que tienen una multiplicidad de proyectos, no sólo este, sino muchísimos otros y hasta donde conozco indirectamente existen relaciones de cooperación con muchísimos países.",0.0,48,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ,"Estoy apercibido que ahora ha llamado la atención algunos segmentos de la sociedad el tema de Cuba como una inquietud especial. Ayer vi una carta conjunta que publican varias mesas directivas de asociaciones gremiales de salud, de medicina, incluida a la que yo pertenezco, la Asociación de Microbiología Clínica e Infectología y en el texto pareciera generar una gran inquietud el tema de una nacionalidad en particular. No sé por qué.",0.0,71,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ,"Las relaciones de colaboración han existido en México y en las entidades federativas con muchísimas naciones a través de la Organización Panamericana de la Salud, también el gobierno ha tenido múltiples relaciones de colaboración en esta administración, en la anterior, en la anterior, en la anterior.",0.0,46,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ,"Yo creo que una de las características de México como un país moderno, solidario, con una visión amplia de las relaciones internacionales, que siempre ha sido motivo de enorme orgullo, una visión de absoluto respeto, es muy conocido que la doctrina diplomática de México por muchísimos años ha tenido una visión de inclusión, de respeto, de amistad con prácticamente todos los pueblos del orbe; entonces, sí me llama la atención que ahora cause tanta inquietud.",0.0,75,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ,Pero respecto al programa específico de la colaboración yo creo que hay que ver qué nos puede informar el gobierno de la Ciudad de México. Muchas gracias.,0.0,27,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ,"Juan Hernández, Grupo Cantón, periódico Basta.",0.0,6,15,06,2020
HUGO LOPEZ-GATELL RAMIREZ," Muchas gracias. Le respondo lo segundo, lo primero le pido al doctor Alomía, quien es el punto focal nacional para el Reglamento Sanitario Internacional en México quien nos comenta de esto.",0.0,31,15,06,2020
