Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
VICTOR HUGO BORJA, Muy buenas tardes a todas y a todos.,0.0,8,17,06,2020
VICTOR HUGO BORJA,"Voy a reportar sobre el registro de defunciones en el IMSS. Después de hacer un compromiso sectorial de mejorar la calidad de los registros y actualizar todos nuestros registros relacionados con la epidemia, en el IMSS hicimos una evaluación de la congruencia de datos entre los distintos sistemas de información.",0.0,50,17,06,2020
VICTOR HUGO BORJA,"Nosotros tenemos un sistema automatizado propio del IMSS y lo comparamos con el Sistema de Vigilancia Epidemiológica de la Enfermedad Respiratoria Viral, que es sectorial. Dedicamos algunos epidemiólogos a hacer esta revisión y aprovechamos el personal que teníamos contratado para la Segunda Semana Nacional de Salud programara para junio, de tal manera que este personal no perdió el empleo, continuó trabajando con nosotros y nos ayudó a vigilar y a revisar los registros, tanto de las hospitalizaciones como de las defunciones en el IMSS.",0.0,84,17,06,2020
VICTOR HUGO BORJA,"Esta búsqueda intencionada y la comparación de los registros nos llevó a la detección de 957 defunciones COVID confirmadas, con fecha de defunción previa al 10 de junio, esto estamos reportando los hallazgos de este fin de semana, y previo, lo que se considera previo al 10 de junio lo consideramos como rezago, dado que hay un periodo de siete días para la confirmación de las defunciones y el registro de las mismas.",0.0,73,17,06,2020
VICTOR HUGO BORJA,Estas defunciones no se encontraban registradas básicamente debido a que no estaba digitalizado el certificado de defunción. Y permítanme explicarles cómo es el proceso de notificación y por qué en ninguna parte del mundo es en tiempo real el registro de las defunciones.,0.0,43,17,06,2020
VICTOR HUGO BORJA,"Para que una defunción se registre y se tenga notificada en la casuística general, porque la vigilancia de las defunciones es vital para la vigilancia epidemiológica de las epidemias, si tenemos un caso sospechoso, como lo tenemos en esta parte de arriba, este puede ser un caso leve, un caso ambulatorio que le llamamos o puede ser un caso grave que vaya al hospital.",0.0,64,17,06,2020
VICTOR HUGO BORJA,"Para que se dé el registro de la defunción tiene que pasar varias partes, no queremos registrar defunciones como COVID no lo sean ni tampoco queremos dejar fuera ninguna defunción que sí sea COVID, de tal manera que tiene que pasar un proceso de validación para que esto pueda quedar registrado adecuadamente.",0.0,52,17,06,2020
VICTOR HUGO BORJA,"Si una persona está en su casa, porque así le hicimos las recomendaciones o se quedó en casa voluntariamente, o estuvo en la unidad de medicina familiar, también puede fallecer fuera del hospital, puede fallecer en casa o puede estar dentro de las unidades de medicina familiar en la atención médica continúa, de tal manera que no todos fallecen en el hospital, la mayor proporción sí fallece en el hospital, pero también hay defunciones en casa, hay defunciones en las unidades de medicina familiar, hay defunciones en trayecto, en las ambulancias y hay defunciones dentro del hospital.",0.0,97,17,06,2020
VICTOR HUGO BORJA,"Para cada uno de estos se consideran sospechosos si reúnen todos los síntomas que debe tener un caso COVID, pero además a todos ellos debemos hacerles una prueba, es obligatorio buscar hacer la prueba a todas las defunciones.",0.0,38,17,06,2020
VICTOR HUGO BORJA,"Si aquella defunción es confirmada, bueno, el proceso es más simple, pasa a ser registrada en nuestros sistemas institucionales y debemos agregar al egreso un certificado de defunción digitalizado para poder ser transferido junto con la prueba de laboratorio al sistema de vigilancia sectorial.",0.0,44,17,06,2020
VICTOR HUGO BORJA,"Sin embargo, hay otras defunciones, aquellas que suceden en casa o que suceden en trayecto. Si suceden en casa, también los médicos del IMSS pueden ir a hacer el certificado de defunción y eso no es tan rápido en términos del reporte como cuando suceden en el hospital, de tal manera que pueden pasar varias cosas.",0.0,56,17,06,2020
