Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CRISTIAN MORALES FUHRIMANN," Muchas gracias, señor subsecretario.",0.0,4,24,07,2020
CRISTIAN MORALES FUHRIMANN,"No voy a presentar diapositivas, sólo tomo sana distancia, porque me quité el cubrebocas.",0.0,14,24,07,2020
CRISTIAN MORALES FUHRIMANN,"Señor gobernador, señora secretaria, señores subsecretarios, señor titular del Insabi, secretaria de Salud, nuestro querido colega del IMSS, con su permiso.",0.0,21,24,07,2020
CRISTIAN MORALES FUHRIMANN,"La pandemia de COVID-19 sigue acelerándose a nivel mundial. Se ha notificado a la OMS casi 15 millones de casos y 600 mil muertes a nivel mundial. En las Américas estamos aportando, lamentablemente, con más de la mitad de estos casos y con más de la mitad de los fallecimientos.",0.0,50,24,07,2020
CRISTIAN MORALES FUHRIMANN,"Todos estamos en riesgo y todos podemos hacer algo para luchar contra esta pandemia. Cada persona debe armarse con la información correcta y utilizarla para evaluar el riesgo y tomar las mejores decisiones para protegerse a sí mismas y proteger a su comunidad, al hacer frente a esta pandemia no debemos perder de vista otras necesidades surgientes de salud.",0.0,59,24,07,2020
CRISTIAN MORALES FUHRIMANN,"Debemos evitar tanto como sea posible que la COVID-19 cause perturbaciones en la atención de la salud y garantizar que se presten de manera continua aquellos servicios de salud que son esenciales como la vacunación, como los tratamientos antihipertensivos, como los tratamientos anticáncer, etcétera.",0.0,44,24,07,2020
CRISTIAN MORALES FUHRIMANN,"Entonces, si esto es lo que tenemos que hacer, la pregunta consiguiente es por dónde y con qué elementos construimos la respuesta, más cuando lo dijimos en Chiapas la semana pasada, no tenemos medicamentos que permitan reducir hoy día la mortalidad de la COVID-19 ni tampoco tenemos una vacuna que nos permita protegernos.",0.0,53,24,07,2020
CRISTIAN MORALES FUHRIMANN,"Eso también, dicho sea de paso, también a pesar de que hay 145 candidatos vacunables, un poco más, cinco de ellos ya en fase tres, es decir, se ha probado su seguridad, se ha probado su eficacia de laboratorio y se está entrando justamente en ese testeo masivo de miles y decenas de miles de personas que nos van a poder dar cuenta de la efectividad clínica en la realidad, pero aún no la tenemos, aún no tenemos esa vacuna.",0.0,80,24,07,2020
CRISTIAN MORALES FUHRIMANN,"La respuesta entonces viene desde algo que conocemos desde hace mucho tiempo, más de 40 años que es el enfoque de atención primaria de la salud.",0.0,26,24,07,2020
CRISTIAN MORALES FUHRIMANN,Esto es justamente el prisma en el que se asienta la estrategia de brigadas comunitarias que buscan primero que nada detectar los signos de alerta en los casos sospechosos de COVID que están a domicilio.,0.0,35,24,07,2020
