Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ZOE ROBLEDO ABURTO," Hoy es 5 de julio del año 2020 y hace exactamente un año en Mapastepec, en la costa de Chiapas, empezó un camino de tres meses por 19 estados del país para acudir al encuentro del personal y las personas que se atienden en los 80 hospitales rurales del programa IMSS-Bienestar.",0.0,51,5,07,2020
ZOE ROBLEDO ABURTO,"Para el Instituto Mexicano del Seguro Social se trata de una página histórica, porque nunca antes y difícilmente después un presidente de los Estados Unidos Mexicanos había dispuesto de tanto tiempo, tanta energía y tan genuino interés para conocer de primera mano las condiciones en que opera este extraordinario programa.",0.0,50,5,07,2020
ZOE ROBLEDO ABURTO,Junto al presidente Andrés Manuel López Obrador y las y los titulares de las instituciones que conforman el sector salud de nuestro país dejamos el escritorio y acudimos al territorio para hacer un diagnóstico y ver de cerca las necesidades de este brazo solidario del Seguro Social.,0.0,47,5,07,2020
ZOE ROBLEDO ABURTO,Fueron 18 mil 123 kilómetros recorridos por carretera y por caminos de terracería y con un solo propósito: conocer para actuar y actuar para transformar.,0.0,25,5,07,2020
ZOE ROBLEDO ABURTO,"De lo que encontramos ahí una cosa es más que cierta, si el programa se sostuvo a pesar del olvido neoliberal, si se mantuvo de pie fue gracias y principalmente a su gente y al modelo de atención integral a la salud que incorpora la atención médica a la acción comunitaria, los saberes, la participación y el interés de la localidad a la que sirven y también a la que cuidan.",0.0,71,5,07,2020
ZOE ROBLEDO ABURTO,"Fueron meses de aprendizaje y de historias, alegres, tristes, historias de resistencia, historias de hombres y de mujeres valientes y hasta heroicos.",0.0,22,5,07,2020
ZOE ROBLEDO ABURTO,"Se realizó el diagnóstico, se plantearon objetivos y se hicieron compromisos que, aunque en este momento tengan una pausa momentánea por la pandemia, quiero darles la seguridad de que se retomarán y se van a cumplir.",0.0,36,5,07,2020
ZOE ROBLEDO ABURTO,"Hoy, ese mismo personal que encendió la esperanza del cambio atiende también la emergencia. Y a ellos, al personal médico y de enfermería, al personal de lavandería, de apoyo y de higiene, a los de conservación, a los de Acción Comunitaria, a los voluntarios, a los choferes, a los cocineros, a todos los involucrados en la actual lucha contra el COVID-19 en las clínicas y los hospitales rurales, mi reconocimiento y agradecimiento.",0.0,72,5,07,2020
ZOE ROBLEDO ABURTO,Con la dedicación y compromiso mostrados será posible hacer realidad lo que ha augurado el presidente López Obrador: la mejor época para el IMSS-Bienestar está por venir.,0.0,27,5,07,2020
ZOE ROBLEDO ABURTO,"Por eso, amigas y amigos, desde su fundación en 1943, el Instituto Mexicano del Seguro Social se escribe con tres ‘S’, aunque una de ellas es invisible, no se ve, pero se siente, y es la ‘S’ de la solidaridad del pueblo de México.",0.0,44,5,07,2020
ZOE ROBLEDO ABURTO,"Que el IMSS-Bienestar siga siendo eso, el pueblo curando al pueblo.",0.0,11,5,07,2020
ZOE ROBLEDO ABURTO,Felicidades. Nos volveremos a ver.,0.0,5,5,07,2020
