Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
EVALINDA BARRON VELAZQUEZ," Muchas gracias, doctor.",0.0,3,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Doctor Alomía, subsecretario, con su permiso. Vamos a ver tres videos de un testimonio de una persona adulta mayor que quiso compartir con nosotros su experiencia.",0.0,26,9,07,2020
EVALINDA BARRON VELAZQUEZ," Bueno, queríamos platicar hoy sobre el impacto sicosocial que tienen los adultos mayores.",0.0,13,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Además de que ya sabemos que son una población vulnerable para la infección por COVID y que podrían tener más comorbilidades, es importante saber cómo en la parte sicológica y social se ha visto afectado este grupo.",0.0,37,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Entonces, bueno ¿qué sabemos?",0.0,4,9,07,2020
EVALINDA BARRON VELAZQUEZ,"En México tenemos 15.4 millones de adultos mayores y quiero que pensemos en las vejeces, porque tenemos adultos mayores que han envejecido exitosamente y todos conocemos personas de 60 años que pueden correr un maratón, pero también existen aquellas personas que han tenido envejecimientos patológicos o envejecimientos que se acompañan de comorbilidades y que los llevan a la dependencias, a dependencias leves o a dependencias graves que hace que necesiten que alguien muchas veces en la familia o fuera de la familia los cuide.",0.0,84,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Aproximadamente de estas 15 millones de personas, el 14 por ciento necesita algún tipo de cuidado. Y esto tiene un gran impacto y les quería… Ya nos contó el doctor Alomía sobre qué lo que pasaba con el panorama de adultos mayores, pero si vemos, hemos cuidado muy bien a nuestros adultos mayores, como mexicanos los hemos resguardado; sin embargo, el impacto que ha tenido en ellos este confinamiento es algo de lo que queríamos platicarles hoy.",0.0,77,9,07,2020
EVALINDA BARRON VELAZQUEZ,¿Qué sabemos?,0.0,2,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Que las medidas para mitigar el SARS-Cov-2 implican un confinamiento mucho mayor en las personas mayores y que esto lleva a nuevos grados de aislamiento social. Hay aislamiento social en los adultos mayores con dependencia frecuentemente y ahora este aislamiento social se ha visto aumentando, puesto que no pueden recibir visitas o muchos de ellos estaban encargados de cuidar a sus nietos y ahora no pueden hacerse por su protección.",0.0,70,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Hay condiciones de salud crónica que se estaban presentando y que ahora no podemos acudir tan fácil a nuestro médico o que es complejo que podamos obtener los medicamentos para todo este tiempo, aunque es óptimo y fueron de las recomendaciones que se han hecho frecuentemente.",0.0,46,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Y es difícil por este mismo motivo por poder salir el acceso a la atención médica en esta situación, y pueda ser que las patologías que hay de base empeore o que haga que tengamos emociones o sentimientos que puedan afectar a los adultos mayores.",0.0,45,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Antes de la pandemia ya sabemos que el aislamiento social es una situación de riesgo para adultos mayores y es un factor que puede aportar a veces a la mortalidad. El estrés financiero y las preocupaciones sobre salud es importante, el 40 por ciento de los adultos mayores en nuestro país son independientes económicamente o viven solos; entonces, la situación actual que a veces permite o no permite que estén obteniendo ahorita recursos puede ser un factor de estrés, las cancelaciones de visitas de las familias, y además hemos hablado muchísimo de cómo acercarnos a los demás, ha servido llamadas vía telefónica, pero tenemos que considerar la brecha tecnológica que muchas veces como jóvenes no les ayudamos a romper.",0.0,119,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Entonces, bueno, esto es importante porque puede afectar a los adultos mayores que no tienen algún deterioro cognoscitivo.",0.0,18,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Y hablábamos de las vejeces. Un tipo de vejez que hay que considerar son aquellos adultos mayores que tienen algún tipo de trastorno cognoscitivo, es decir, aquellos que tienen algún tipo de demencia y que entonces pueden tener aún mayores complicaciones.",0.0,41,9,07,2020
EVALINDA BARRON VELAZQUEZ,"El cuidado de una persona con demencia en casa puede hacer que necesitamos rutinas estrictas, necesitamos ciertos horarios, y muchas veces estas personas son cuidadas por terceros que son pagados, y en este momento no pueden estar en casas de asistencia o no pueden llegar otras personas a nuestra casa.",0.0,50,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Esto hace que los síntomas que puedan tener a veces disruptivos o que puedan empeorar la situación mental en la que estaban, cause un mayor conflicto para ellos y para sus familias. Y no sólo es eso, cómo afecta toda esta situación sicosocial que está permeando en nuestros adultos mayores a la familia.",0.0,53,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Vemos que este 41 por ciento de personas dependientes que tenían algún cuidador, pues ese cuidador muchas veces está adentro de casa. Y no solamente está ahora del cuidado del adulto mayor que a veces esta persona que tenía algún padecimiento de demencia estuviera en alguna casa de cuidados prolongados, y que ahora tenga que estar en casa, también tenemos que aunar al estrés familiar los cuidados de niños en casa, que algún otro miembro de la familia se haya enfermado y que tengamos que tomar estas medidas, trabajos fuera del hogar cuando somos cuidadores primarios y entonces ahora tenemos que tener más cuidado con nuestros adultos mayores, estresores financieros y preocupaciones por su propia salud.",0.0,116,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Y en la pirámide de salud, en la base más grande es el autocuidado, las medidas de autocuidado son importantes y a veces no sabemos cómo hacerle.",0.0,27,9,07,2020
EVALINDA BARRON VELAZQUEZ,"El aumento de estrés puede llevarnos a tener más casos de ansiedad o de depresión, tanto en cuidadores como en adultos mayores.",0.0,22,9,07,2020
EVALINDA BARRON VELAZQUEZ,¿Qué es lo que hemos visto?,0.0,6,9,07,2020
EVALINDA BARRON VELAZQUEZ,"La Línea de la Vida el último mes recibió dos mil 400 llamadas y de esos el 17 por ciento fueron de adultos mayores, hechas por adultos mayores.",0.0,28,9,07,2020
EVALINDA BARRON VELAZQUEZ,¿Qué fue lo que encontró?,0.0,5,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Que la mayor parte de las que hablaron fueron mujeres y que quien más reportó problemas de ansiedad eran mujeres; los hombres reportaron más síntomas depresivos, tristeza, ganas de llorar, llanto fácil y además síntomas somáticos, es decir, que tenga dolores de cabeza, dolores de garganta, dolores musculares, fue lo que más se reportó por los hombres.",0.0,57,9,07,2020
EVALINDA BARRON VELAZQUEZ,Y esto es equiparable a lo que encontramos en el tamizaje que se está haciendo en colaboración con la UNAM y con el Instituto Nacional de Psiquiatría y el Hospital Psiquiátrico Fray Bernardino Álvarez sobre la salud mental de quienes han contestado.,0.0,42,9,07,2020
EVALINDA BARRON VELAZQUEZ,"De todos los que contestaron, solamente el cuatro por ciento fue de adulto mayores, esto lo atribuimos un poco justamente al acceso a los servicios de internet y se replica bastante, pero ahí encontramos un dato que era que presentaban burnout, porque se estaba midiendo en el tamizaje.",0.0,48,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Entonces, aunque los datos que se obtiene por los servicios en línea que se están promoviendo por parte de la Secretaría de Salud son representativos de solamente las personas que se comunican, podemos ver que sí están pidiendo ayuda por los medios que son necesarios.",0.0,45,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Entonces, estamos en una situación en la que el grupo vulnerable tiene que ser visto, no solamente desde la parte biológica, porque hay una vulnerabilidad biológica, sino valorar las relaciones intergeneracionales y la vulnerabilidad social que presentan.",0.0,37,9,07,2020
EVALINDA BARRON VELAZQUEZ,¿Y qué podemos hacer?,0.0,4,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Vamos a dar como algunas cosas que tenemos que hacer con nuestros adultos mayores en estos tres tipos de categoría, aquellos adultos mayores que son, que tienen una vejez exitosa o que no tienen una patología que los haga dependiente.",0.0,40,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Tenemos que reforzar las medidas de autocuidado, tenemos que seguir las indicaciones que nos dicen a todos, el lavado de manos, la sana distancia y a veces para ellos es complejo adecuarse a estas nuevas normalidades o a estas nuevas formas de comunicación.",0.0,43,9,07,2020
EVALINDA BARRON VELAZQUEZ,Como familia es necesario que todos nos involucremos en el cuidado de los adultos mayores. Nos toca a todos y a todas para que no colapse el cuidador primario y para que no colapse toda la familia en el cuidado de los adultos mayores.,0.0,44,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Es necesario tener rutinas, medidas de higiene del sueño, me levanto a la misma hora, me acuesto a la misma hora, intento no tomar siestas y si las tomo que sean menores de 20 minutos, tener una alimentación adecuada, hacer ejercicio dentro de nuestras capacidades.",0.0,45,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Y ahí es muy importante no infantilizar a los adultos mayores. Ellos pueden tomar sus decisiones y tenemos que escucharlos como a nosotros nos gustaría ser escuchados, y ofrecerles lo que haya dentro de casa en sus capacidades.",0.0,38,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Hay veces que cuando tenemos ya a los adultos mayores con nosotros no queremos que hagan nada, ni que laven un plato porque ya trabajaron toda su vida. Todos necesitamos colaborar dentro de la casa, y si es posible esto funciona muy bien como ejercicio físico.",0.0,46,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Ahora voy a hablar de la población que puede ser más compleja y que a veces causa que haya más desgaste familiar, que son las personas con algún tipo de deterioro cognitivo, algún tipo de demencia.",0.0,36,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Las alteraciones de la memoria suelen ser complejas de manejar y cuando cambiamos los hábitos de sueño, cuando cambiamos los hábitos de las personas que nos cuidan, cuando ya no estamos saliendo de casa ¿qué podemos encontrar?, que aumente a irritabilidad, que se presenten alusiones visuales o auditivas, que no estén durmiendo o duerman demás.",0.0,55,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Y es algo complejo porque esto también se puede confundir con los síntomas de COVID en adultos mayores, porque no forzosamente se dan como en los jóvenes. Puede manifestarse por alteraciones cognitivas y a veces no presentan fiebre o pueden no tener tantos síntomas respiratorios.",0.0,45,9,07,2020
EVALINDA BARRON VELAZQUEZ,"En el testimonio vemos que la señora comenta que no fueron tan graves y tuvo gastroenteritis. Entonces, es importante ver cuando hay algún cambio de comportamiento, algún cambio en la rutina de las personas en nuestra casa que podamos llamar a un médico o algún especialista si tenemos dudas y tratar de no medicarlos.",0.0,54,9,07,2020
EVALINDA BARRON VELAZQUEZ,"Una situación que se ha visto en los últimos años es el aumento de consumo de sustancias sicoactivas en adultos mayores, tanto de medicamentos que se prescribían y que se lo siguen tomando sin indicación, como benzodiacepinas, como aumento en el consumo de alcohol o de alguna otra sustancia ilícita.",0.0,50,9,07,2020
