Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MAURICIO HERNANDEZ AVILA," Muchas gracias, subsecretario, muchas gracias por la invitación.",0.0,8,26,08,2020
MAURICIO HERNANDEZ AVILA,"Hay un pequeño video, si lo pueden presentar, por favor.",0.0,10,26,08,2020
MAURICIO HERNANDEZ AVILA," Bueno, CLIMSS es la plataforma que hemos puesto en el Instituto Mexicano del Seguro Social al servicio de la plataforma de la Nueva Normalidad. En esta plataforma, verán ustedes un poquito más adelante, tenemos 100 mil empresas registradas y estamos, a través de estas 100 mil empresas estamos vigilando cerca de 10 millones de trabajadores.",0.0,55,26,08,2020
MAURICIO HERNANDEZ AVILA,"Esto es increíble porque representa casi el 50 por ciento de los trabajadores inscritos en el Instituto Mexicano del Seguro Social. Entonces, es un gran logro, creemos que es un gran logro porque está diseñada específicamente para estos cursos cortos en los que se requiere obtener información.",0.0,47,26,08,2020
MAURICIO HERNANDEZ AVILA,"Entonces, permítanme un poco presentarles los resultados. En relación a CLIMSS y COVID tenemos tres cursos que fueron para apoyar a los profesionales de la salud. Hay un curso, digamos, muy complicado, que es referente a cómo intubar y cómo manejar un paciente con un respirador; hay hasta alguno menos, digamos, técnico que es cómo prevenir el desgaste que se da; hay 13 cursos que están dirigidos a la población general.",0.0,71,26,08,2020
MAURICIO HERNANDEZ AVILA,"Entonces, ustedes pueden ver, a partir del 6 de abril pusimos en marcha todo sobre la prevención de COVID, ese curso lleva más de cinco millones de visitas y cerca de cuatro millones de graduados, ha sido fundamental.",0.0,38,26,08,2020
MAURICIO HERNANDEZ AVILA,"A partir de ahí fuimos abarcando diferentes temas; por ejemplo, el plan de acción para el hogar es qué hacer cuando uno tiene algún familiar en casa por COVID, esto es muy importante porque la tasa de infección en el hogar es muy alta y tenemos que protegernos.",0.0,48,26,08,2020
MAURICIO HERNANDEZ AVILA,"Después hicimos cursos para cuidados a personas adultas mayores, enfermedad por coronavirus para personal médico, manejo en UCI, este es un curso canadiense que junto con el Instituto Nacional de Ciencias Médicas y Nutrición adaptamos para poderlo poner en un formato que tuviera acceso masivo.",0.0,45,26,08,2020
MAURICIO HERNANDEZ AVILA,"Cuidados de la salud mental, hicimos uno específico para residencias para personas mayores porque veíamos que en otros países se presentaban frecuentemente brotes epidémicos en estos sitios.",0.0,27,26,08,2020
MAURICIO HERNANDEZ AVILA,"Después, junto con la Nueva Normalidad y con las cámaras de industria, implementamos este retorno seguro al trabajo ante COVID, aquí también tenemos más de cuatro millones de graduados en ese curso.",0.0,32,26,08,2020
MAURICIO HERNANDEZ AVILA,"Hemos ido estableciendo cursos ya temáticos respecto al regreso, por ejemplo, para guarderías, para construcción, que lo hicimos con la CMIT.",0.0,21,26,08,2020
MAURICIO HERNANDEZ AVILA,"Y experiencias exitosas que vimos con la industria vimos que los que tenían un muy buen desempeño tenían lo que ellos llamaban monitores COVID, que son personajes que están específicamente capacitados para estar monitoreando el uso adecuado del cubrebocas, que los depósitos de alcohol gel tengan suficiente material, que se usen apropiadamente los equipos de protección personal, que se guarde la sana distancia. Entonces, ese curso para monitores es el más largo tenemos, son 50 horas porque es técnico y ha tenido también más de 50 mil graduados.",0.0,88,26,08,2020
