Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GUILLERMO PEÑALOZA," Gracias, muchas gracias. Vamos a la presentación rápidamente.",0.0,8,20,09,2020
GUILLERMO PEÑALOZA,"Nuevamente, yo soy Guillermo Peñaloza, soy médico psiquiatra adscrito a los Servicios de Atención Psiquiátrica y vamos a hablar de este tema que en realidad es muy común y más en esta situación tan emergente que ha suscitado a partir de esta pandemia de COVID-19, porque nos obligó a estar en casa, pero además a utilizar las tecnologías de otra manera.",0.0,61,20,09,2020
GUILLERMO PEÑALOZA,Y algo bien importante que tenemos que tomar en cuenta es: ¿cómo está la situación en México?,0.0,17,20,09,2020
GUILLERMO PEÑALOZA,Tenemos varias encuestas ya realizadas por el Inegi en donde se dice que hasta 80 millones de personas usuarias de internet en México se presentan del 120 o de 130 millones del total.,0.0,33,20,09,2020
GUILLERMO PEÑALOZA,"Imagínense nada más, es casi el 75 por ciento de todos los mexicanos que ya tienen acceso al internet, pero hay dos poblaciones bien importantes.",0.0,25,20,09,2020
GUILLERMO PEÑALOZA,¿Por qué?,0.0,2,20,09,2020
GUILLERMO PEÑALOZA,"Si recuerdan la semana de suicidio, las personas que tienen de 15 a 29 años se encuentran dentro de la segunda causa, el suicidio es la segunda causa de muerte a nivel mundial.",0.0,33,20,09,2020
GUILLERMO PEÑALOZA,"Entonces, ¿cuál es la población más importante?",0.0,7,20,09,2020
GUILLERMO PEÑALOZA,"Doce a 17 años, casi del 100 por ciento de 12 a 17 años de personas, de niños, el 88 por ciento utiliza internet y de 18 a 24 años 91 por ciento utilizan internet. Entonces, estamos es una situación que podemos utilizarla para un mejor bienestar, para una mejor salud mental, ahorita vamos a ver cómo podemos hacer es aparte.",0.0,61,20,09,2020
GUILLERMO PEÑALOZA,"Además de esto, se encuentran hasta 86.5 millones de usuarios de teléfonos celulares en México, vean nada más esa proporción, se puede tener acceso a internet no sólo a través de computadoras, sino también a través de teléfonos celulares.",0.0,39,20,09,2020
GUILLERMO PEÑALOZA,"Estas son cifras muy importantes porque se cree a veces que no hay tanto al acceso al internet, no hay tanto acceso a la tecnología, y en realidad estas encuestas nos están diciendo que sí existe un cierto acceso a través de varios medios.",0.0,44,20,09,2020
GUILLERMO PEÑALOZA,"Además de esto, el 93 por ciento cuenta con al menos un televisor en casa, y la televisión ahorita ya está pasando también a medios digitales. Es bien importante porque ahora pues los maestros están utilizando mucho la televisión para poder dar las clases, imagínense nada más eso, poder dar clases a través de televisión, ¿quién se iba a imaginar esa idea tan innovadora?, tan padre, además.",0.0,67,20,09,2020
GUILLERMO PEÑALOZA,Lo que sí es importante también es: ¿para qué se usan principalmente los medios digitales?,0.0,15,20,09,2020
GUILLERMO PEÑALOZA,"En primer lugar, está el entretenimiento. Definitivamente, el entretenimiento es algo que todos buscamos, ya sea el futbol, ya sea algún concierto, etcétera y ahora tenemos esta cuestión de los medios digitales, y el 92 por ciento lo utilizan para eso.",0.0,41,20,09,2020
GUILLERMO PEÑALOZA,"Pero también 91 por ciento de todas estas personas lo utilizan para información y esto es bien importante porque desgraciadamente hay tantísima información que muchas veces se puede encontrar las noticias falsas, como bien lo mencionaba el doctor Quijada.",0.0,39,20,09,2020
GUILLERMO PEÑALOZA,"Y otra de las cosas también para que se utilizan los medios, y esto es porque la naturaleza humana es buscar, el poder estar comunicados todo el tiempo, ya sea a través del lenguaje corporal, ya sea a través del habla, ya sea a través de los libros, pues ahora se puede utilizar la comunicación a través de los medios digitales, y esto puede ser hasta un 91 por ciento de las personas utilizan los medios para poder comunicarse.",0.0,79,20,09,2020
GUILLERMO PEÑALOZA,"Pero bueno, una de las cuestiones bien importantes que a todos también nos agarró curva es el trabajo a distancia.",0.0,20,20,09,2020
GUILLERMO PEÑALOZA,¿Qué es lo que sucedió con el trabajo a distancia?,0.0,10,20,09,2020
GUILLERMO PEÑALOZA,"Pues en realidad ya se habían ciertos estudios, cierta observación de qué es lo que sucedía en la salud mental de las personas cuando llegaban a trabajar a distancia uno o dos días a la semana, en especial en las mujeres que eran… que acaban de dar a luz y que se encontraban en este periodo en donde estaban con la pérdida del contacto con el hijo, se veía que cuando empezaban a trabajar a distancia mejoraban sus síntomas, porque luego pueden tomar, pueden presentar síntomas depresivos, y estas mujeres mejoraban en esos síntomas depresivos.",0.0,95,20,09,2020
GUILLERMO PEÑALOZA,"Imagínense nada más el simple hecho de poder darles la oportunidad de trabajar a distancia, mujeres que se encontraban con síntomas depresivos mejoraban estos síntomas a través de esta simple medida. Entonces, esto es lo que ya se sabía anteriormente.",0.0,40,20,09,2020
GUILLERMO PEÑALOZA,"Actualmente, y esto porque nos agarró a todos en curva y realmente no se sabe con exactitud más que una cuestión muy anecdótica y que, por cierto, si hay algún profesional de la salud mental que lo esté viendo en este momento hay mucho tema de tesis en esta parte para sus trabajos de investigación bien padres, existen muchas cuestiones anecdóticas en donde las personas han mejorado sus hábitos alimenticios, han mejorado sus tiempos de sueño, pueden ya tener una mejor calidad una mejor higiene del sueño y además de esto algunos han presentado una mejora en los síntomas de ansiedad y de depresión.",0.0,104,20,09,2020
GUILLERMO PEÑALOZA,"Pero hay otra situación que sucedió. Realmente muchos jefes o muchas personas no se encontraban con esta posibilidad de cómo reaccionar ante esta situación de trabajar a distancia, y entonces ¿qué es lo que pasa?, le están marcando casi todo el tiempo, casi todo el día, les mandan correos todo el día, no hay desconexión como tal y esto sí les ha llegado a provocar un poco más de estrés.",0.0,70,20,09,2020
GUILLERMO PEÑALOZA,"Esta situación se habla en una cuestión, ahora sí que están trabajando todos los días en casa, todos, todos los días y no puede existir esa desconexión y esa parte es lo que anecdóticamente presentan las personas o han referido, que se sienten un poco más estresadas por esa parte.",0.0,50,20,09,2020
GUILLERMO PEÑALOZA,"Además, otra cosa, existen también estas cuestiones de que vamos a hacer una junta y las juntas empiezan a extenderse hasta más de dos horas. Realmente la atención sostenida de una persona no pude mantenerse por más de ni siquiera 160 minutos, es ya extenso, se empiezan a cansar y entonces estas juntas de más de dos horas lo único que van a provocar es que se estresen más, que se cansen más, que no sean tan productivos y que no pongan atención y que no tomen las medidas o los consejos que les están mencionando sus jefes en ese momento.",0.0,101,20,09,2020
GUILLERMO PEÑALOZA,"Entonces ahí se viene como toda la parte negativa de esta situación, pero esto es porque realmente no sabían o no sabíamos más bien cómo reaccionar ante el trabajar a distancia y esto, porque no… muchos no todavía no se convencían de cómo llegar a poner esta pequeña medida tan, pero tan sencilla.",0.0,53,20,09,2020
GUILLERMO PEÑALOZA,"Entonces, por este lado del trabajo a distancia todavía queda mucho que observar, mucho que atender, como les decía, puede ser un gran trabajo de tesis, adelante, háganlo.",0.0,28,20,09,2020
GUILLERMO PEÑALOZA,"Vamos a la siguiente para poder hablar de otro tema bien importante, que es las redes sociales.",0.0,17,20,09,2020
GUILLERMO PEÑALOZA,"Ustedes, papás, señores, alguien que esté con el miedo, con esta sensación de qué es lo que voy a hacer con mis hijos que se la pasan todo el día pues viendo sus redes sociales o que están comunicándose nada más con sus amigos a través de Instagram o subiendo cosas, etcétera, bueno, primero que nada, quiero empezar con esta pequeña frase, bueno, esta oración que me parece muy importante para todos los profesionales de la salud mental, y bueno también médicos que atienden a las personas: ‘Cualquier entendimiento actual de la salud mental del adolescente y del adulto debe contemplar el uso de las redes sociales’.",0.0,107,20,09,2020
GUILLERMO PEÑALOZA,"Muchas veces se deja de lado, se deja de lado esta parte de… Ya es una parte integral de nuestra vida diaria, no lo podemos poner como algo que no existe, que no tiene una consecuencia.",0.0,36,20,09,2020
GUILLERMO PEÑALOZA,¿Cuál es la consecuencia?,0.0,4,20,09,2020
GUILLERMO PEÑALOZA,"Si va a ser positiva o negativa, bueno, se tiene que estudiar muchísimo más, un poco menos sesgado, pero definitivamente es una cosa que tenemos que tener muy en cuenta y preguntar también con los pacientes, con las personas que estamos atendiendo cómo se sienten con las redes sociales, esto es bien importante.",0.0,53,20,09,2020
GUILLERMO PEÑALOZA,"Y también tener un panorama general porque se cree que no todas las personas realmente utilizan las redes sociales, pero eso es también muy falso; en realidad, en Facebook, por ejemplo, tenemos hasta 2.5 millones de usuarios en el mundo, imagínense nada más, más bien dos mil 500 millones de usuarios en el mundo, no 2.5, dos mil 500 millones de usuarios en el mundo, eso habla un poco más del tercio de la población mundial. Imagínense la cantidad de personas que están ahí y el 90 por ciento de ellos tienen menos de 35 años.",0.0,96,20,09,2020
