Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GUILLERMO SANTIAGO RODRIGUEZ," Hola, buenas tardes a todas y a todos. Un gusto en poder saludarles.",0.0,13,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,Vamos a empezar con un video que justamente plantearía el tema de hoy.,0.0,13,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ," Bien, como es sabido por todos y todas, la contingencia ha traído un problema económico para toda la población, pero que ha afectado con especial intensidad en las personas jóvenes.",0.0,30,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Por ello, el Instituto Mexicano de la Juventud y el Instituto Nacional de Economía Social lanzamos el componente Fábricas de Economía Solidaria.",0.0,22,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,¿Con qué finalidad?,0.0,3,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Con la finalidad de poder dar acompañamiento a las y los jóvenes crecer, contar con herramientas que les permitan generar bienestar para ellos y para sus familias. Justo el principal objetivo de este componente es buscar el bienestar de las personas jóvenes en México.",0.0,44,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,¿Qué son las Fábricas de Economía Solidaria?,0.0,7,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Son espacios físicos en los que las personas jóvenes van a contar con el apoyo para la creación, el desarrollo y la consolidación de emprendimientos colectivos, buscamos que las y los jóvenes cuenten con este acompañamiento para buscar experiencias en innovación económica, basadas todas en los ámbitos de la economía social.",0.0,51,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Tenemos la firme convicción que el corporativismo y la economía social es una de las principales herramientas con las que vamos a contar para ir ayudando y contribuyendo a cerrar la brecha de desigualdad que existe hoy en día en nuestro país y que, como sabemos, estructuralmente afecta a las y los jóvenes.",0.0,53,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Justo esto es un programa que también en coinversión con las instancias estatales de juventud, que son grandes aliados en el ejercicio cotidiano de la política pública para las y los jóvenes de todo el país.",0.0,36,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Tenemos la firme convicción que justo esta pandemia, como lo hemos mencionado, nos ha enseñado que es desde la colectividad como se encuentran las soluciones a los problemas actuales. En las Fábricas de Economía Solidaria se implementarán las siguientes estrategias.",0.0,40,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Número uno, emprendimiento social, estará abocado especialmente a aquellos jóvenes, a aquellos grupos de jóvenes que desean emprender.",0.0,18,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Número dos, el impulso a la seguridad alimentaria, se está plateando justo que a través de estos centros se pueda empezar el fomento de huertos urbanos desde las juventudes, no solamente los huertos en estos espacios, sino brindar las capacitaciones para que, a partir de ahí, en sus hogares, en los espacios en los que ellos puedan desarrollarlo, puedan continuarlo, sumándonos al plan de bienestar que hay a nivel nacional, para que pueda existir alimentación sana y digna.",0.0,78,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Número tres, promoción de la cultura de la paz, estrategia que es sumamente importante para poder luchar para reconstruir el tejido social. Cabe mencionar que este programa está dirigido a todas las juventudes, pero principalmente a aquellas que históricamente habían sido vulneradas, aquellos y aquellas jóvenes que tienen pocos recursos o que han tenido pocas experiencias y acompañamientos como este.",0.0,60,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Número cuatro, el fomento al trabajo digno.",0.0,7,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Número cinco, como lo mencionaba, el acompañamiento solidario, capacitación técnica, salud emocional, seguimiento de proyectos, etcétera. Uno de los grandes problemas que hemos detectado cuando hay emprendimientos colectivos, sobre todo no es el inicio, sino el acompañamiento después. Por ello generamos estos espacios para brindar un acompañamiento constante y permanente a estas personas jóvenes.",0.0,54,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Bien, en este momento vamos a vivirlo por fases, la primera fase cuenta con 16 estados de la República en donde vamos a empezar con una inversión del Instituto Mexicano de la Juventud de 120 mil pesos por cada fábrica más, hay que sumarle, cada estado va a determinar la cantidad de recursos que va a incluir para sus espacios.",0.0,60,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"En este momento los estados seleccionados, que fueron seleccionados en un comité de selección entre el Instituto Mexicano de la Juventud y el Instituto Nacional de Economía Social son los siguientes:",0.0,31,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Está Tlaxcala, Zacatecas, Baja California Sur, Chiapas, Jalisco, Hidalgo, Guerrero, Nayarit, Michoacán, Campeche, Veracruz, Oaxaca, Quintana Roo y el Estado de México. Con esos estados son con los que nos quedamos a arrancar y en enero vamos a sacar la segunda fase para estar en todo el territorio nacional.",0.0,49,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Bien, algo importante que mencionar también es que las Fábricas de Economía Solidaria se van a vincular con dos proyectos estratégicos del Gobierno de México, como en el video mencionaban, con el corredor interoceánico y también con el Tren Maya.",0.0,40,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"En el Corredor Interoceánico estaremos en Veracruz y en Oaxaca, y en el Tren Maya estaremos en Quintana Roo, en Chiapas y en Campeche. Esto también con la finalidad de ir contribuyendo y acompañando estos proyectos tan importantes y que van a impactar de manera significativa a estas regiones, que van a ser detonantes del desarrollo del bienestar, pero justo lo que queremos es acompañar este proceso con la participación de las y los jóvenes.",0.0,75,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Con esto terminamos lo de Fábricas de Economía Solidaria, que justamente ya arrancamos, en un mes aproximadamente estaremos ya habilitando los espacios, dependiendo del semáforo de cada uno de los estados es como empezaríamos a aperturarlos ya para que sea presencial.",0.0,41,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Y, como lo mencionaba, por otro lado continuamos con el programa Raicees, que es igual a un programa de acompañamiento técnico para jóvenes que deseen realizar emprendimiento social, este es de manera virtual, ya arrancamos el día 1º de septiembre, estamos con tres mil jóvenes de todo el territorio nacional, justo para brindar estas capacitaciones son dos meses y al finalizar esta capacitación también estaremos ayudándolos con la vinculación de otros programas u otras acciones que les permitan continuar con sus emprendimientos.",0.0,82,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Y para terminar, quiero compartirles que es algo que hemos venido trabajando constantemente, el programa Contacto Joven, que es un programa de acompañamiento emocional a las y los jóvenes de todo el país, compartirles un poco de cómo vamos.",0.0,39,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"La verdad, estamos muy contentos y contentas por la respuesta que hemos recibido y también con mucha claridad de la importancia que tiene el cuidado de la salud mental en toda la población, pero principalmente en las juventudes de México.",0.0,40,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Al día de hoy llevamos dos mil 858 casos ya atendidos, cinco mil 74 atenciones de cada uno de los problemas que se han presentado, el 38 por ciento de las personas que han llamado ha sido por estrés, el 25 por ciento por el tema de emociones, el 13 por ciento por pensamientos, muchas veces pensamientos de generarse daño a sí mismos, el 14 por ciento por crisis, el tres por ciento por violencia y el cuatro por ciento por adicción a sustancia sicoactivas.",0.0,85,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Algo también que destacar. Como lo hemos venido diciendo, el 66 por ciento son mujeres jóvenes, de las cuales en promedio en general, de 20 a 29 años, es el 70 por ciento de las personas que están recurriendo a este contacto.",0.0,42,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Nuevamente hacemos la invitación a todas las personas jóvenes que deseen se acompañadas en este espacio de diálogo interacción, es muy fácil, sólo hay que mandar un WhatsApp con la palabra ‘contacto’ al 55 72 11 2019, lo repito, 55 72 11 2019, y de manera inmediata le darán vinculación con otro joven para que de persona a persona y que puedan tener un acompañamiento dependiendo el tema que traiga, el problema que traiga, puede ser de dos sesiones de un mes hasta seis meses.",0.0,85,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,Para cerrar mi participación quiero decir que es muy importante justo entender que la atención de las personas jóvenes debe hacerse de una manera integral y transversal de todas las políticas públicas en el país.,0.0,35,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Eso es sumamente necesario, es un momento delicado para el mundo, pero especialmente para nuestra generación y por ello desde el Gobierno de México es que están haciendo todas estas acciones para poner en el centro de la política pública a las personas, a los y los jóvenes, y lograr la inclusión, como bien decimos, que nadie se quede afuera, que nadie se quede atrás y por eso mismo desde el Imjuve seguiremos trabajando por ello.",0.0,76,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Muchas gracias. Excelente, tarde.",0.0,4,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ, Muchísimas gracias por la pregunta.,0.0,5,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Justo desde el Instituto Mexicano de la Juventud, en el Projuventud, que es el documento rector de la política pública para las y los jóvenes de todo el país, uno de sus principales objetivos es garantizar que las personas jóvenes tengan acceso a salud y sobre todo el derecho a la salud sexual y reproductiva.",0.0,55,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Como parte de esto estamos en varias estrategias, estamos en el Enapea, Instituto Nacional de Prevención del Embarazo Adolescente; estamos trabajando fuertemente con Conapo, que ha sido un gran aliado para las juventudes en México; estamos trabajando en varias estrategias.",0.0,40,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Por un lado, en el tema territorial, justo como mencionábamos con el subsecretario, con un programa de Brigadas de Jóvenes por la Transformación, que acaba de terminar la primera generación, estuvimos trabajando justamente este tema de prevención de conocimiento; pero, por otro lado, también estamos trabajando en la sensibilización de servidores públicos respecto a que puedan atender a personas jóvenes, que los puedan atender con perspectiva de juventudes.",0.0,68,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Hoy por hoy es uno de los temas importantes y por ello también es que seguimos empujando y seguimos acompañando los procesos de las personas jóvenes que pugnan justamente por una educación laica, estamos en contra de todas estas medidas o intenciones de poder restringir el acceso la información sobre derechos sexuales y reproductivos, acompañamos desde luego el sentir tan justo de las y los jóvenes en la diversidad sexual que hoy por hoy están dando una batalla a nivel nacional y que nos sumamos a su reclamo de justicia por los asesinatos que han ocurrido últimamente también, no podemos seguir viviendo en donde no exista esta inclusión.",0.0,108,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,"Y bueno, para cerrar, son dos vías muy claras: por un lado, la rectoría de la política pública; por otro, las acciones las acciones que tenemos con varias dependencias, Conapo, Salud, Educación, principalmente.",0.0,33,4,09,2020
GUILLERMO SANTIAGO RODRIGUEZ,Gracias.,0.0,1,4,09,2020
