Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GADY ZABICKY SIROT," Muchas gracias, señor subsecretario. Con su venia.",0.0,7,6,09,2020
GADY ZABICKY SIROT,Un saludo a todos y a todas aquí en Palacio Nacional y también hasta sus hogares en este fin de semana que termina.,0.0,23,6,09,2020
GADY ZABICKY SIROT,Quisiera yo empezar por agradecer al subsecretario el espacio que nos ha dado al grupo de salud mental y adicciones el tener la oportunidad de comunicarnos con la gente cara a cara durante estas últimas tres semanas y esperamos que haya salido algo benéfico para la población en ese sentido.,0.0,50,6,09,2020
GADY ZABICKY SIROT,Y el día de hoy queremos hablar un poco sobre los consumos de las sustancias que les llamamos ilegales. Hablamos durante las últimas dos semanas de las dos sustancias legales que más muertes y enfermedades causan en el mundo y el día de hoy hemos elegido cuatro sustancias que tienen un interés particular para nuestra población.,0.0,56,6,09,2020
GADY ZABICKY SIROT,"Yo personalmente les hablaré brevemente sobre la cannabis, la marihuana, y les hablaré también sobre el cristal metanfetamina.",0.0,18,6,09,2020
GADY ZABICKY SIROT,"Es importante comentarles que la mayoría de las sustancias, y aplica para las que vamos a tocar el día de hoy, se encuentran en un espectro que, desde los griegos antiguos, le llamaban toxicón y pharmacón, significa que una sustancia, dependiendo de la dosis, puede ser un pharmacón, una medicina, o puede ser un toxicón, puede ser un veneno. En ese sentido, la utilización de la sustancia es crítica para entender lo que va a hacer y el perfil de daño que puede causar.",0.0,84,6,09,2020
GADY ZABICKY SIROT,"La cannabis sativa L, por lineum, es una planta ancestral, ha evolucionado 28 millones de años, como la conocemos el día de hoy, y los humanos nos empezamos a relacionar con ella hace aproximadamente 20 mil años, principalmente por su uso económico. La planta de la cannabis se presta para hacer cuerdas, telas, para el aceite, para alimentar a los animales, es un planta muy económica, muy eficiente en ese sentido y hace 10 mil años aproximadamente se empezó a utilizar haciendo que ingresara a nuestro organismo por sus efectos de tipo sicoactivo y medicinales.",0.0,95,6,09,2020
GADY ZABICKY SIROT,"Probablemente todos ustedes hayan alguna vez visto el icono de la planta de la marihuana, de la hoja de la marihuana, pero quiero llamar su atención a la otra imagen. Lo que vemos en esta foto es un acercamiento con un microscopio a una de estas plantas de cannabis y observamos unas estructuras que se llaman tricomas, estos tricomas son un aceite que ocurre naturalmente en la planta y ahí es en donde se encuentran las moléculas biológicamente activas.",0.0,79,6,09,2020
GADY ZABICKY SIROT,"Es una planta que se originó en el Cáucaso, en Asia Central, llegó al continente americano en las carabelas de Cristóbal Colón, les comentaré que las cuerdas y las velas de estas carabelas estaban hechas de hemp, estaban hechas de cáñamo, que es la misma planta que da la cannabis.",0.0,50,6,09,2020
GADY ZABICKY SIROT,"El día de hoy la planta crece y se consume de forma cosmopolita en todo el planeta, en los cinco continentes, bajo dos rubros principales: lo que es la medicina endocannabinoide y el uso recreativo de la planta.",0.0,38,6,09,2020
GADY ZABICKY SIROT,"Quiero comentar que es muy importante llamarle medicina endocannabinoide, porque a los científicos la fascinación que nos ha causado esta planta durante las últimas décadas pues no tiene que ver necesariamente con la planta per se, porque la planta lo que nos ha llevado a descubrir es el sistema endocannabinoide que tenemos todos los seres humanos. Todos, desde que nacemos, tenemos receptores específicos para estas moléculas y en ese sentido lo increíble es nuestro sistema endocannabinoide.",0.0,76,6,09,2020
GADY ZABICKY SIROT,"Ahora, resulta que la llave maestra para este sistema está contenida en la planta. El día de hoy en todo el planeta estamos investigando muy arduamente en todas las universidades, todos los hospitales del mundo este receptor porque cada vez se acumula más evidencia, el día de hoy es francamente abrumadora en cuanto a que la cannabis bien utilizada tiene algunas ventajas y algunas propiedades médicas realmente únicas, incluso frente a la reacción inflamatoria provocada por la COVID.",0.0,78,6,09,2020
GADY ZABICKY SIROT,"Es importante platicar de la cannabis también y de lo que tiene que ver con la prohibición de los vapeadores, de los dispositivos para vaporizar nicotina o cannabis porque hay un elemento importante también referente a la cannabis, que habitualmente se fuma o se come, pero también puede ser vaporizada en estos nuevos dispositivos electrónicos.",0.0,55,6,09,2020
GADY ZABICKY SIROT,"Algo que hemos aprendido de cuando la tecnología ingresa al mundo de una sustancia es que tiende a empeorar las cosas. Por ejemplo, en 1826 un inglés llamado John Walker, que no tiene nada que ver con el whisky, inventó los fósforos de fricción, hasta ese momento no había cómo encender fuego de manera inmediata. Adivinen quién propulsó este invento. La industria tabacalera. Y efectivamente, a raíz de la invención de los fósforos, el consumo de tabaco se volvió algo totalmente disponible para la gente en cualquier momento y explotó.",0.0,90,6,09,2020
GADY ZABICKY SIROT,"De la misma manera les comentaré que irlandés que se llamaba Francis Rynd, en 1844 inventa la jeringa hipodérmica. Hasta ese momento ya se consumía el opio como un medicamento, normalmente en pinturas o se comía, pero en 1844 lo introducimos con una jeringa a la vena y a partir de ese momento empezó la gran epidemia de opiomanía también.",0.0,60,6,09,2020
GADY ZABICKY SIROT,"Entonces, no queremos meter dispositivos tecnológicos en una situación que ya consideramos puede ser problemática y puede representar un riesgo para la salud pública.",0.0,24,6,09,2020
GADY ZABICKY SIROT,"Les pongo aquí muy brevemente estas dos moléculas que son las más importantes: en primer lugar, tenemos una que se llama tetrahidrocannabinol o THC, esa es la sustancia que genera el efecto sicoactivo; tenemos también el cannabidiol, que es la sustancia que en combinación con otras mismas moléculas tiene algunos efectos medicatorios muy importantes.",0.0,54,6,09,2020
GADY ZABICKY SIROT,"Existen en el mundo casi 200 millones de usuarios consuetudinarios, significa que fuman de manera regular cannabis en México, y esto es importante hacerlo notar, durante los últimos… una década y media, hemos visto un crecimiento muy importante del consumo de esta planta. En el 2002 el 3.5 de la población había consumido alguna vez en la vida la cannabis y para el 2016 fue el 8.6 por ciento, más que el doble.",0.0,73,6,09,2020
GADY ZABICKY SIROT,"Si ya nos vamos al último año ya hay una diferencia entre preguntarle a alguien: Oye, ¿tú has fumado alguna vez en la vida? Ese es alguna vez en la vida; y otro parámetro es preguntarle a la gente si tú has consumido el último año, porque nos habla de un consumo más reciente.",0.0,54,6,09,2020
GADY ZABICKY SIROT,"En el 2002 el 0.6 por ciento había utilizado la cannabis y para el 2016 se había incrementado en tres veces, este es un crecimiento realmente importante y obedece a muchos factores que en este momento no vamos a tratar.",0.0,40,6,09,2020
GADY ZABICKY SIROT,"Suele ser una de las principales sustancias por las que la gente en México acude a nuestros centros. Un saludo, por cierto, a todos los trabajadores de nuestros centros de atención primaria en adicciones.",0.0,34,6,09,2020
GADY ZABICKY SIROT,"Suele ser la cannabis una de las plantas que provoca la mayoría de las consultas, probablemente asociado al hecho que también es la sustancia ilegal que más se consume en el país y en todo el mundo.",0.0,37,6,09,2020
GADY ZABICKY SIROT,"Es importante comentar que el día de hoy sigue habiendo una discusión en el país muy importante, con respecto a cuál será el estatus de esta planta, pero yo quisiera sí decirle a la población que no debemos de trivializar esta situación. Entre un siete y 10 por ciento de las personas que consumen cannabis van a desarrollar una situación bastante problemática de dependencia, les va a costar bastante trabajo dejar de consumir y aparte puede generar síntomas siquiátricos importantes.",0.0,80,6,09,2020
GADY ZABICKY SIROT,"Quiero comentar que desde los tres poderes de gobierno en esta administración se ha hecho un esfuerzo increíblemente profesional, técnico, exhaustivo.",0.0,21,6,09,2020
GADY ZABICKY SIROT,"Quiero comentar que, por ejemplo, la oficina de la abogada general, de la maestra Lecuona, ha sido increíblemente persistente y efectiva para poder emitir un reglamento que ha sido publicado, este es uno de los reglamentos más vanguardistas más progresistas y más humanos en el mundo con respecto al manejo medicinal del cannabis.",0.0,53,6,09,2020
GADY ZABICKY SIROT,"Muy importante hacerles comentar, y recuerda el COVID, todos vamos a estar expuestos, pero sí tenemos más de 60 años la enfermedad es mucho más grave. Con la cannabis hay que pensar en el mismo sentido.",0.0,36,6,09,2020
GADY ZABICKY SIROT,"No significa que los adultos no puedan llegar a presentar una dependencia, porque sí la hay, pero el problema significativo es el consumo por los menores de 21 años.",0.0,29,6,09,2020
GADY ZABICKY SIROT,"¿El cerebro se está cableando en ese momento?, ¿se está plastificando?, decimos en neurofisiología. Es muy importante que los niños, las niñas y los adolescentes no tengan contacto con esta planta porque no es inocua para ellos.",0.0,37,6,09,2020
GADY ZABICKY SIROT,"Finalmente queremos comentar que el día de hoy se está discutiendo en los parlamentos de nuestro país de manera muy activa, se está reactivando esta discusión, que es importante darla a cara a la nación, y para nosotros lo que nos queda muy claro es que más allá de los intereses comerciales, más allá de cualquier otra situación, nosotros tenemos que salvaguardar como bien superior la salud pública.",0.0,68,6,09,2020
GADY ZABICKY SIROT,"Les voy a hablar en este momento de la segunda sustancia, esta es particularmente importante, compañeros y compañeras. Hay un grupo de sustancias que pertenecen a un grupo de moléculas feniletilaminas, es un grupo muy grande de sustancias que se utilizan en la industria y que son componentes importantes de medicamentos y sustancias sicoactivos.",0.0,54,6,09,2020
GADY ZABICKY SIROT,"Esta feniletilaminas tienen usos legítimos, se utilizan en la medicina todos los días en todo el planeta y también desafortunadamente se pueden desviar para convertirse en sicoestimulantes de uso patológico.",0.0,30,6,09,2020
GADY ZABICKY SIROT,"Este que ven ustedes aquí a la derecha es una imagen de la planta que en el oriente se llama ma huang, se conoce como la uva de mar también, es un arbusto como un mangle y de este sale, de esta planta que se llama ephedra, nosotros obtenemos una sustancia que se llama efedrina, de esta efedrina también proviene el cristal metanfetamina con un proceso que se puede hacer de manera más menos sencilla en algo que se conoce como laboratorio de sótano.",0.0,84,6,09,2020
GADY ZABICKY SIROT,"Aquí les pongo una foto de interesante de hace 100 años de estos productos que eran utilizados, quiero comentarles, por ejemplo, que la Segunda Guerra Mundial se peleó por todos los ejércitos bajo el efecto de las anfetaminas, porque esta droga hace de un ser humano un soldado que no come, que no duerme y que está lo suficientemente enardecido y estimulado para salir al campo de batalla.",0.0,68,6,09,2020
