Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE LUIS ALOMIA ZEGARRA," Con su permiso, señor subsecretario.",0.0,5,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Muy buenas tardes todas y todos los que están, tanto de manera presencial como de manera virtual, nos siguen también a través de las diferentes redes sociales y medios de comunicación.",0.0,31,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Estamos en la conferencia vespertina número 192 y el día de hoy cumplimos 100 días de la nueva normalidad, normalidad que, ustedes saben, se caracteriza por las intervenciones comunitarias a actividades que son permitidas a través del semáforo de riesgo COVID, que desde hace 100 días se operan precisamente en cada una de las entidades federativas en base a la situación, al perfil epidemiológico que cada una de ellas tiene.",0.0,70,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"La epidemia en México es una epidemia asincrónica, es decir, sucede en diferentes momentos, con diferentes magnitudes, en cada una de las 32 entidades federativas, por eso la importancia de que cada una pueda tener un modelo y una evaluación de su riesgo para, en la medida de este resultado, puedan entonces aplicar las acciones, las intervenciones para disminuir la circulación en el espacio público y favorecer la sana distancia entre las personas que residen en cada una de ellas y así poder modular de manera adecuada la presentación de la epidemia en cada una de ellas.",0.0,97,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Vamos a ver cómo se encuentra el escenario nacional. Aquí tenemos más de un millón 435 mil 700 personas, son las que hasta el momento han sido estudiadas, han ingresado a este protocolo de estudio para saber si presentan o no la enfermedad COVID-19, y esto lógicamente, a través de la detección mediante una prueba de PCR, que es la que está oficializada y normada para México, que permite identificar el virus SARS-CoV-2; el 50 por ciento de estas personas, que son 719 mil 981, han dado ya negativas, lo cual han sido descartadas para COVID-19 y son las que precisamente están representadas en las barras de color morado, en la parte superior.",0.0,113,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Pero también tenemos 637 mil 509, al corte del día de hoy, que han dado positivo a virus SARS-CoV-2 y, por lo tanto, dado que presentaban signos y síntomas compatibles con la enfermedad, son hasta el momento nuestros casos confirmados de COVID-19.",0.0,42,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Podemos ver un dato importante, que es precisamente el porcentaje de positividad desde que empezamos a graficar la semana número 35 desde el día de ayer domingo, que este porcentaje de positividad ha continuado con una tendencia descendente importante, cayendo, inclusive del 44 por ciento que estuvimos prácticamente toda la semana pasada, iniciamos la gráfica de esta semana con un 40 por ciento y vamos a ver cómo durante esta semana esta proporción pudiera estarse moviendo, tanto hacia arriba como hacia abajo, vamos a precisamente ver cuál es el comportamiento.",0.0,90,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Pero cuando vemos desde la semana, 28, 29, en donde teníamos el porcentaje de positividad más alto, que llegamos a tener hasta 54 por ciento, pues bueno, este prácticamente desde ese entonces ha caído ya 14 puntos, lo que también habla que la entonces circulación del virus SARS-CoV-2 en el nivel comunitario y lógicamente en unas entidades federativas más, en otras menos, también ha disminuido.",0.0,65,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Vamos a ver la siguiente diapositiva para enfocarnos ahora a los casos estimados, 669 mil 884 serían los casos estimados, es decir, a todo el grupo de casos confirmados ya con una prueba positiva estamos sumándole a aquellas personas que todavía tienen un resultado que no ha sido emitido, pero que, sabiendo ese porcentaje de positividad para cada una de las semanas, lo aplicamos y entonces sumamos a ese grupo también para poder tener una estimación más cercana a la realidad.",0.0,81,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Cuando graficamos esas personas por cada una de las semanas epidemiológicas en las cuales iniciaron con sus signos y síntomas de la enfermedad, pues entonces vemos esta curva que en su momento había llegado entre la semana 27 y 30 a esta cima, a esta parte superior, digamos, de la presentación en México, en total en el país, luego presentaba ya tres semanas continuas de descenso prácticamente hasta la semana 32, luego hizo una meseta de la semana 32 a la 34 y de la 34 a la 35 nuevamente inicia un descenso, el cual para ese comparativo de esas últimas dos semanas continúa de menos 13 por ciento, lo cual tendencia descendente que continúa a nivel nacional.",0.0,118,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Son 446 mil 715 también las personas están representadas en la curva de color verde y son precisamente las personas que se han recuperado, y es el 70 por ciento ya confirmado de personas que se han recuperado hasta el momento de la epidemia sabiendo que hoy todavía tenemos también un porcentaje que se encuentra en este momento en recuperación, en hospitalización y todavía entonces no las podemos sumar a este grupo.",0.0,72,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Otro dato importante es que las lamentables defunciones que hasta el momento se han presentado continúan teniendo una tendencia descendente, menos 54 por ciento de la semana 34 a la 35, y habíamos visto ya que desde la semana 30, 31 esta tendencia inició con esa presentación.",0.0,47,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Abrimos también los casos activos estimados con un seis por ciento, es un porcentaje que tuvimos durante la semana pasada, lógicamente las dos semanas de meseta que tuvimos estabilizaron este porcentaje, ahora que inicia un nuevo descenso vamos a ver si este porcentaje puede o llega a disminuir, 38 mil 393 son las personas que han iniciado con signos y síntomas en los últimos 14 días en todo el país.",0.0,70,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Veamos la siguiente diapositiva. La disponibilidad y ocupación hospitalaria, 33 por ciento en el caso de camas general a nivel nacional.",0.0,21,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Las entidades que tendrían menos disponibilidad, pero aun la tienen por encima del 30 por ciento son precisamente Colima, Nuevo León y Nayarit con 39, 42 y 43 por ciento respectivamente, y después de estos tres estados, 29 o los siguientes 29 tienen 56 por ciento más de disponibilidad, es decir, más de la mitad de este tipo de camas listas para poder recibir a pacientes que presenten enfermedad grave de COVID-19.",0.0,72,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Y en la siguiente diapositiva vemos la disponibilidad para los pacientes que presentan enfermedad crítica, es decir, que requieren de un ventilador mecánico para poder sostener su respiración y, lógicamente, un tratamiento más especializado.",0.0,34,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Aquí también la ocupación ha estado disminuyendo de manera considerable en las últimas semanas, es de 28 por ciento solamente la media nacional con el corte del día de ayer, y aquí vemos que todas las entidades federativas tienen 55 por ciento o más de este tipo de camas también disponibles.",0.0,51,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Vamos a pasar ahora a revisar una actualización de gráficas internacionales, vamos a revisar algunos de los países más representativos de la región de las Américas y lógicamente también a México, para ver cómo se ha estado presentando la pandemia y lógicamente las epidemias al interior de cada uno de ellos.",0.0,51,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Aquí tenemos, por ejemplo, el caso de Argentina. Argentina, ustedes deben haber estado revisando en los diferentes medios que de manera reciente empezó con un escalamiento en la presentación de sus casos, en su transmisión y, por ende, de su epidemia.",0.0,41,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"De hecho, podemos ver en función de la curva que es uno de los países de Latinoamérica que fue donde de los que entraron más tarde a la pandemia como tal, con circulación como ellos.",0.0,35,7,09,2020
JOSE LUIS ALOMIA ZEGARRA,"Si bien es cierto sus primeros casos se dieron desde prácticamente mediados, fines de marzo, tuvieron una transmisión bastante basal que empezó a tener una tendencia ascendente ahí para la tercera semana de mayo y una vez que esta tendencia ascendente inicia podemos ver la gráfica que empieza a incrementarse, inclusive aumentando su velocidad prácticamente en las últimas dos semanas.",0.0,60,7,09,2020
