Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Muy buenas noches. Juan Hernández, del periódico Basta, de Grupo Cantón.",0.0,11,19,02,2021
PREGUNTA,"Hoy en la mañana la jefa de gobierno, Claudia Sheinbaum, informó precisamente de… Bueno, que se terminó de vacunar precisamente a la población adulta mayor, pero en el caso de Cuajimalpa quedaron ahí algunos adultos mayores sin poderse vacunar. ¿A qué se debió precisamente esta situación? No sé si les hayan dado un informe sobre esta situación.",0.0,57,19,02,2021
PREGUNTA,"Obviamente la jefa de gobierno ya tomó cartas en el asunto, tomó los nombres de estas personas porque, bueno, en las crónicas periodísticas estuvimos checando de que muchos adultos mayores el día de hoy, a pesar de que había carteles de que se había carteles de que se había terminado la vacuna llegaron a formarse a las 3:00 de la mañana.",0.0,61,19,02,2021
PREGUNTA,¿Ahí qué fue lo que ocurrió específicamente en ese módulo en donde dio esta situación? ¿y cómo se va a resolver?,0.0,21,19,02,2021
PREGUNTA,Gracias.,0.0,1,19,02,2021
PREGUNTA," Gracias, buenas noches. Liliana Noble, de Pulso Saludable.",0.0,8,19,02,2021
PREGUNTA,"Doctor Gatell, referente a lo que comentaba Juan, ¿las personas entonces que no alcanzaron en este embarque de vacunas de Astra pudieran estar contempladas para Sinovac o para Sputnik o no?",0.0,31,19,02,2021
PREGUNTA," Ya díganos, díganos dónde.",0.0,4,19,02,2021
PREGUNTA," Doctora de la Garza, esta parte que hablaba el doctor Tedros de la reducción y mencionaban por ahí también una cifra, no sé si sea la correcta, de alrededor de un 50 por ciento de la reducción de los casos a nivel global, ¿esto habla de que la vacuna está ejerciendo su efectividad y de que el virus se está debilitando al no encontrar un organismo con la disponibilidad para poder replicar?, ¿o a qué se debe exactamente esta reducción?",0.0,80,19,02,2021
PREGUNTA, Gracias.,0.0,1,19,02,2021
PREGUNTA,"Y finalmente, doctor Gatell, ¿han tenido algún tipo de acercamiento con Cuba y su diseño de vacun y el Conacyt?, ¿va a haber algún tipo de estudio con la población mexicana? Cuéntenos por favor.",0.0,34,19,02,2021
PREGUNTA,Gracias.,0.0,1,19,02,2021
PREGUNTA, (inaudible),0.0,1,19,02,2021
PREGUNTA," Muchas gracias. Luis Lozano, de la revista Forbes.",0.0,8,19,02,2021
PREGUNTA,"Preguntarles sobre si este municipio y esta alcaldía estarían, serían contiguas tendrían frontera, ¿eso no importa en la selección?",0.0,19,19,02,2021
PREGUNTA,También si este modelo de escoger zonas conurbadas se va a estar repitiendo como una especie de pilotos mientras van llegando las vacunas en todo el país.,0.0,27,19,02,2021
PREGUNTA,Y también ¿cómo es…? ¿tienen alguna especie como de lista o cómo van definiendo en dónde se van a seguir aplicando?,0.0,21,19,02,2021
PREGUNTA,"Ya nos quedó claro que es por personas adultas mayores, que es por territorio y que es por marginación y alejamiento de servicios hospitalarios, pero quisiera saber si ya tienen como una jerarquización muy clara y ya más definida la política de vacunación.",0.0,43,19,02,2021
PREGUNTA, (inaudible),0.0,1,19,02,2021
PREGUNTA," Gracias. Buenas noches. Arturo Contreras, de Pie de Página.",0.0,9,19,02,2021
PREGUNTA,"Hace dos semanas nos comentaban que se estaba planeando fortalecer la parte del Indre que hace la identificación de las variantes genómicas que tiene el virus y de sus mutaciones, porque hasta el momento la capacidad que tenía para identificar nuevas variantes era un tanto limitada.",0.0,46,19,02,2021
PREGUNTA,"Entonces, saber un poco cómo ha ido este trabajo y cuál ha sido el avance en la identificación de esta no nueva variante o sí nueva variante mexicana descubierta en Guadalajara. ¿Qué se sabe hasta el momento?",0.0,37,19,02,2021
PREGUNTA," Nos preguntan desde las redes sociales, a personas que están al frente de COVID que no les tocó la vacuna porque los mandaron de vacaciones, hubo gente que salió de vacaciones y que ya no se vacunó, y no saben cuándo les va a volver a tocar porque regresan de sus vacaciones y ya pasó la vacunación y entonces ellos siguen trabajando, entonces no saben muy bien qué hacer. Bueno, pues eso.",0.0,72,19,02,2021
PREGUNTA," Muchas gracias. Buenas noches, doctor Hugo López Gatell; doctora Ana Lucía, muy buenas noches. Mandamos un saludo al presidente López Obrador y gracias por estas conferencias de prensa.",0.0,28,19,02,2021
