Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Muchísimas gracias. Le agradecemos al doctor José Ernesto Ramírez González, responsable de la Unidad de Desarrollo Tecnológico e Investigación Molecular de nuestro querido Instituto de Diagnóstico y Referencia Epidemiológica, Indre.",0.0,34,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"Ahora vamos a cederle la palabra, y gracias a la tecnología, al doctor José Luis Alomía Zegarra quien nos compartirá el informe referente al tema de vacunación y los avances.",0.0,30,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"Buenas noches, doctor Alomía. Un saludo desde este Salón Tesorería. Gracias.",0.0,11,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Muchísimas gracias, doctor José Luis Alomía Zegarra, director general de Epidemiología, y procederemos a adelante con las preguntas de nuestros compañeros reporteros aquí presentes.",0.0,28,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"Compañero, por favor.",0.0,3,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Muchísimas gracias. Le pediría al doctor José Luis Alomía Zegarra, quien ellos, como grupo de alta gerencia, han estado contacto con el señor subsecretario para que nos pudiera respuesta a esta pregunta.",0.0,36,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Muchísimas gracias.,0.0,6,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,Compañera.,0.0,1,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Sí, gracias por la pregunta. Nosotros desde el punto de vista de vigilancia epidemiológica una vez que el paciente cumple con una definición operacional se le hace una toma de muestra, es positivo y efectivamente, como comenta, los anticuerpos a lo largo del tiempo pueden tender a la disminución de los mismos y este paciente puede tener un segundo evento.",0.0,64,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"Para cuando nosotros hablamos del término de ‘reinfección’ primero tenemos que tener la certeza de que fue positivo en un primer evento y posteriormente se tiene que hacer la clasificación genética, la secuencia genómica para poder saber que son dos variantes diferentes.",0.0,42,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"Cuando tenemos estos casos se tiene y se habla de este paciente puede, tiene, ha sido nuevamente reinfectado por el virus del SARS-CoV-2.",0.0,23,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,Gracias.,0.0,1,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Cuando tenemos dos variantes diferentes, estamos hablando del término de la reinfección en este caso.",0.0,19,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Nuestro compañero.,0.0,6,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Y definitivamente el COVID largo es de interés para los sistemas de salud pública, se está haciendo toda esta revisión que diferentes países sistemática, que diferentes países realizan para poder hacer la identificación de los principales síntomas frecuentes asociados a este COVID largo y les estaremos informando en sesiones diferentes.",0.0,54,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,"CHRISTIAN ARTURO ZARAGOZA JIMÉNEZ: Muchas gracias a todas las personas que siguen la transmisión de esta conferencia vespertina, a las personas que asisten presencialmente y a todos nuestros seguidores a través de las diferentes plataformas digítales. Damos por concluida la conferencia, sin olvidar que la estrategia nacional de vacunación avanza, que la epidemia no termina.",0.0,55,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,Muchas gracias a todos. Son las 20 horas con tres minutos. Gracias por su asistencia. Buenas noches.,0.0,17,25,02,2021
CHRISTIAN ARTURO ZARAGOZA JIMENEZ,---,0.0,1,25,02,2021
