Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ERNESTO RAMIREZ GONZALEZ," Gracias. Buenas noches. Muchas gracias por la atención y la invitación para esta pequeña charla, serán unos cuantos minutos.",0.0,19,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Justamente de lo que queremos platicar con ustedes es sobre la caracterización genómica y genética de este virus SARS-CoV-2. Y, bueno, para poder entrar un poquito en contexto me gustaría platicarles muy breve que este es un virus que su material genético es RNA, seguramente todos ya lo sabemos y está compuesto por cerca de 30 mil nucleótidos, estos nucleótidos es la información genética del virus que hace que se codifiquen las diferentes proteínas por las cuales el virus está compuesto.",0.0,81,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Entonces, el virus codifica estas proteínas, entre ellas está la envoltura del virus, la espícula del virus, la nucleocápside del virus, todas estas proteínas que tenemos de este virus están formadas por aminoácidos, por estructuras llamadas aminoácidos. Cuando cambia un aminoácido es cuando estamos hablando de una sustitución y es cuando estamos hablando de una mutación.",0.0,56,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Esto ocurre con frecuencia en virus que tienen características como esta, que es un virus RNA. Justamente quiero comentar esto porque, que a lo largo de esos 30 mil nucleótidos, pueden ocurrir estos eventos que les llamaremos cambios o les llamaremos mutaciones.",0.0,42,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Con esta caracterización genética, o sea, descifrar cuál es el orden de estos nucleótidos y de esos aminoácidos se les llama secuenciación. Entonces, con esta caracterización genética obtenida por medio de secuenciación se han realizado diferentes clasificaciones de este virus. Actualmente se ocupan principalmente dos que son las que tengo aquí que les llaman grupos genéticos.",0.0,56,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"La gente de la plataforma Gisaid, que es una plataforma donde se depositan estas secuencias, les denomina clados y se han determinado al menos siete clados importantes en todo el mundo que son estos que están aquí: S,L,V,G,GH,GR,GV.",0.0,38,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Esto es de acuerdo a las características que tiene este virus genéticamente hablando, o sea, cuando va cambiando, cuando va mutando se va agrupando en estos diferentes clados y también se puede llevar a cabo la determinación de linajes, de linaje A, B, B.2, B.1.",0.0,45,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Si ustedes recuerdan, en las semanas pasada el doctor Alomía les presentó aquí el primer caso de una variante detectada en el estado de Tamaulipas y se denominaba variante o linaje B.1.1.7 y así hay tantas variantes y tantos linajes como ustedes pueden conocer de acuerdo a como este virus ha ido cambiando.",0.0,53,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Y bueno, cada clado, cada grupo genético tiene mutaciones características que lo definen y que hace que se agrupe.",0.0,19,4,02,2021
ERNESTO RAMIREZ GONZALEZ,¿Cómo se agrupa?,0.0,3,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Por medio de unas herramientas bioinformáticas que se llaman árboles filogenéticos. Estos árboles filogenéticos nos van a agrupar estos clados, estos linajes y de acuerdo a esa asociación que tienen filogenética esa asociación que hay entre los nucleótidos. Entre más se parezcan, se agrupan entre sí, por eso tenemos diferencias tanto en nucleótidos como en aminoácidos y podemos clasificar a nuestro virus SARS-CoV-2 en diferentes grupos y clados.",0.0,68,4,02,2021
ERNESTO RAMIREZ GONZALEZ,Esto es el contexto para poderles hablar un poquito de lo que hemos hecho en cuestión de la vigilancia de las diferentes variantes que se han detectado.,0.0,27,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Empezamos por ahí del 20 de diciembre, recibimos un comunicado por parte de la OMS donde nos explican que existe una variante que le denominaron en ese momento la variante inglesa, porque tenía ciertos cambios, ciertas mutaciones a lo largo de su genoma que la hacían característica.",0.0,47,4,02,2021
ERNESTO RAMIREZ GONZALEZ,Una de las principales características de esta variante es que se empezó a dispersar con mayor velocidad en el Reino Unido y por eso llamó mucho la atención.,0.0,28,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Entonces, cuando se empiezan a caracterizar nos damos cuenta y nos emiten en el comunicado que esta variante tiene 23 mutaciones a lo largo de su genoma que son de características importantes. Principalmente las variaciones estaban en esta proteína que se llama espícula.",0.0,43,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Estas variaciones están en el gen S, le llamamos gen S por espícula, y tiene principalmente ahí al menos cinco mutaciones que subrayó ahí en azul.",0.0,26,4,02,2021
ERNESTO RAMIREZ GONZALEZ,¿Qué fue lo que hicimos?,0.0,5,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Para poder detectar que este virus tenga todas estas mutaciones tenemos que hacer la secuencia del genoma completo, que es un procedimiento ciertamente largo e incluso costoso.",0.0,27,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Entonces, lo que hicimos primero es únicamente secuenciar el fragmento en la espícula y observar si estas muestras pueden o no tener estas mutaciones.",0.0,24,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Entonces, definimos esta estrategia y en el caso de que tengamos estas mutaciones, que son características, tenemos la obligación de secuenciar todo el genoma para ver todas las mutaciones las 23 que conforman esta variante.",0.0,35,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"El día 10 de enero terminamos de secuenciar la primera muestra de una persona que ya les platicaron haces unas semanas, que era un paciente proveniente, una persona inglesa que venía de un viaje. Hicimos la secuenciación, encontramos estas mutaciones, hicimos la secuencia de genoma completo y detectamos que esta persona tenía las 23 variantes del genoma de esta variante inglesa. Esto fue el primer resultado que dimos el 10 de enero.",0.0,72,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Para el día 13 de enero, como ya empezamos a trabajar con nuestra Red Nacional de Laboratorios de Salud Pública y empezamos a emitir comunicados en donde nos alertaran si había personas que estuvieran regresando de algún viaje, porque puede estar esta variante importada, nos hicieran favor de que si fueran los casos positivos los remitieran a la institución y empezar a hacer una búsqueda dirigida hacia esta variante con estas herramientas.",0.0,72,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Y, bueno, fue el 13 de enero que nos mandaron algunas muestras de Tampico. Encontramos una segunda variante, en automático avisamos a la parte de epidemiología, hacen su trazabilidad epidemiológica y nos empiezan a remitir los contactos de esta persona que resultó variante; dos días después, detectamos que sí es una variante, porque secuenciamos el genoma completo y a los ocho días nos mandan las muestras de los contactos de los familiares, y ya podemos decir que esta mutación, que puede ser importada, ahora se transmitió lateralmente entre los contactos, ya la transmisión fue aquí y presentan específicamente las 23 mutaciones de la variante inglesa.",0.0,105,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Estos fueron los dos primeros casos que tenemos, los denominamos caso Tampico y caso Nuevo León, porque las muestras provenían de estos lugares.",0.0,23,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Sin embargo, la Organización Mundial de la Salud y la Organización Panamericana de la Salud empezaron a detectar algunas otras variantes, entre ellas hay dos: es la variante que le han denominado inglesa, la otra variante que le han denominado la variante Sudáfrica y últimamente ha estado sonando mucho la famosa variante también brasileña o variante Japón.",0.0,57,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Aquí les presento solamente un cuadro de la espícula, la proteína de la espícula donde están las mutaciones características de estas tres variantes.",0.0,23,4,02,2021
ERNESTO RAMIREZ GONZALEZ,¿Por qué ponemos este cuadro?,0.0,5,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Porque quiero enfatizar aquí que para que puedan existir o determinar o clasificar esta variante tienen que estar todas las mutaciones que son características de la misma; de hecho, hemos no es una definición concreta, pero hemos acordado por medio la OPS, de la OMS definir un poco lo que es variante y variante es la acumulación de cambios o de mutaciones en un genoma de un virus que lo hace diferente al original, en este caso a Wuhan, que es el original, pero que estas variantes, que estas mutaciones, estos cambios tengan características que la hagan diferente, que tengan algún tipo de impacto.",0.0,104,4,02,2021
ERNESTO RAMIREZ GONZALEZ,¿Cuál es este impacto?,0.0,4,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Impacto en salud pública, por ejemplo, mayor transmisibilidad que las mutaciones estén asociadas a mayor transmisibilidad o que tenga una asociación, algunos estudios que han hecho investigadores nacionales e internacionales con evasión a respuesta inmune, por ejemplo, o que puedan tener alguna característica que hayan determinado en algunos estudios que puede presentar alguna mayor atracción sobre la célula que va a infectar etcétera, etcétera.",0.0,64,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Estas variantes, estas mutaciones de impacto son las que tenemos que trabajar y estudiar, y esto lo hacemos para hacer una aclaratoria específica sobre esta mutación 484K, es una mutación.",0.0,30,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"El hecho de que encontremos un cambio no nos va a indicar que tenemos una variante, tenemos que tener las mutaciones características de la variante, todas las mutaciones características de esta variante.",0.0,32,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"En este caso les enfatizo porque, por ejemplo, para que la variante pueda ser brasileña tiene que tener al menos las mutaciones que tenemos en la espícula, que son todas las que están aquí abajo y una de esas es la 484, pero es sólo una.",0.0,46,4,02,2021
ERNESTO RAMIREZ GONZALEZ,"Entonces, ya hemos hablado con el caso de las personas que han detectado el hallazgo muy importante, porque encontrar una mutación es un hallazgo muy importante, pero hemos hablado con ellos para que nos envíen las muestras acá, al instituto, para poder llevar a cabo la caracterización genética del genoma completo para poder lucidar si esto es una variante o no, de entrada no podemos decir que esto es una variante.",0.0,71,4,02,2021
