Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GABRIELA DEL CARMEN NUCAMENDI CERVANTES," En este video de la doctora Misuet Peralta Ordoñez, ella es quien justo hace alusión a este testimonio, es obviamente propio de la Secretaría de Salud del estado de Campeche, creo que tenemos varios mensajes que resaltar.",0.0,37,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Estamos a más de un año ya de haber iniciado esta pandemia y a más de un año ya de haber tenido el primer caso de COVID-19 en este país, y hemos estado viviendo esta nueva normalidad, esta nueva normalidad que no sólo vive toda la población mexicana, toda la población que está en territorio mexicano, sino a nivel mundial.",0.0,60,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Y parte del mensaje que yo creo que debemos de resaltar antes de hacer mención al informe técnico justo es cómo también nuestros trabajadores de la salud en las unidades hospitalarias, en las unidades médicas de primer nivel, de segundo nivel del sector Salud,tanto público como privado, día con día se esfuerzan para atender a toda la población sin importar si eres sospechoso o no sospechoso a COVID.",0.0,68,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"En donde la sumatoria de esfuerzos se realiza a través de un equipo interdisciplinario, a través del reforzamiento de las acciones de prevención, a través del reforzamiento del lavado de manos, del uso adecuado del equipo de protección personal, a través del reforzamiento de los protocolos estandarizados y la aplicación de los mismos.",0.0,53,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Recordemos que realizar la atención de nuestros pacientes sea o no paciente COVID con diagnóstico o sospecha, sea paciente con cualquier diagnóstico, pero que llega a solicitar atención a un nivel, sea primero, segundo o tercero, pues debemos de mantener los protocolos.",0.0,42,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Y esta atención se ha venido también a lo largo de más de un año. Entonces, parte del esfuerzo que el estado de Campeche ha realizado, al igual que el resto de las 31 entidades federativas, pero que afortunadamente para ellos esto les ha favorecido para poder estar ya durante varias semanas en un semáforo verde pues es justo este trabajo en equipo.",0.0,63,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Este apego a los protocolos, este apego a los procedimientos estandarizados, este apego a mantener la guardia sin importar qué horario de servicio y este apego a prestar el servicio como servidor público, a prestar el servicio en pro de la salud de la población.",0.0,45,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Dicho esto, y recordando nuevamente que estamos a más de un año de esta pandemia, vamos a presentarles el avance del informe técnico con corte al día de hoy, 10 de abril.",0.0,32,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Recordemos que este primer parte, quisiera enfatizar nuevamente que estas conferencias pues se dieron o se dan en origen y sigue permaneciendo de esta forma, pues con la finalidad de que la población mexicana esté enterada de lo que está sucediendo en el panorama epidemiológico de esta enfermedad en nuestra población.",0.0,51,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Y este es nuestro principal objetivo en la Secretaría de Salud, el principal objetivo es comunicar, comunicar con transparencia, brindar información oportuna, brindar información que no sólo le sirva al tomador de decisiones que está arriba, sino que también le sirva al tomador de decisiones para poder hacer frente a una atención médica en el día con día.",0.0,58,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,Pero también le sirva a la población mexicana para que estemos enterados de cómo va avanzando esta enfermedad y cómo van avanzando también las acciones en materia de salud a nivel nacional.,0.0,32,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Dicho esto, es un gráfico que ustedes ya conocen muy bien y me refiero a que ustedes ya conocen muy bien a todos aquellos que están de punto de contacto el día de hoy a través de redes sociales, a través de canales televisivos, que nos están escuchando a través de la radio, pues estamos presentando en la primera figura los casos incidentes activos estimados y aquellas personas recuperadas que se han identificado por semana epidemiológica a lo largo del transcurrir de esta epidemia por SARS-CoV-2 en nuestro país..",0.0,89,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Recordemos pues que ya en las últimas semanas hemos observado una tendencia a la baja, nos hemos mantenido así hasta el corte del día de hoy.",0.0,26,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,Actualmente tenemos un total de 29 mil 370 casos activos estimados y afortunadamente se han completado ya un millón 976 mil 517 esquemas completos de vacunación para hacer la prevención de enfermedad grave de la COVID.,0.0,36,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,Identifiquemos cómo afortunadamente tenemos ya un total de más de un millón 807 mil personas recuperadas y tenemos unas desafortunadas 209 mil 212 defunciones.,0.0,24,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Aquí quiero hacer un alto porque es muy importante aclarar que toda esta información que estamos presentando, tanto los casos como las defunciones. se reportan a través del Sistema Nacional de Vigilancia Epidemiológica.",0.0,33,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,Los casos confirmados obviamente tienen un resultado positivo a COVID.,0.0,10,10,04,2021
GABRIELA DEL CARMEN NUCAMENDI CERVANTES,"Las defunciones en particular no entran necesariamente de forma automática al sistema. Entonces actualmente, de acuerdo a los procedimientos que dentro del Sistema Nacional de Vigilancia Epidemiológica, estamos pasando por una fase que nosotros denominamos cierres de información, entonces hay información que se ha venido acumulando y que sobre todo en el caso de las defunciones estamos en un proceso que denominamos proceso de dictaminación.",0.0,65,10,04,2021
